.feature,.interaction
clade2:MST_medium,0.6035250346949819
VD_minor:MST_medium,0.16979337615392426
VD_medium:MST_medium,0.2279731809376172
VD_major:MST_medium,4.179691430570182e-16
ER_minor:MST_medium,0.029033248260681543
ER_medium:MST_medium,0.07489695366043495
ER_major:MST_medium,0.2216668892545582
MST_minor:MST_medium,6.394409304679295e-16
MST_major:MST_medium,0.05230157335324556
clade2:VD_medium,0.0680918344401107
VD_minor:VD_medium,0.0709664360266939
VD_major:VD_medium,1.0526349256075677e-15
ER_minor:VD_medium,0.07190126658493798
ER_medium:VD_medium,0.04194569548113031
ER_major:VD_medium,0.6190350320107648
MST_minor:VD_medium,0.02502089901217296
MST_medium:VD_medium,0.26475951870722836
MST_major:VD_medium,0.04218039861905788
clade2:ER_medium,7.056073715356828e-16
VD_minor:ER_medium,0.08107074789719075
VD_medium:ER_medium,0.041896946686945095
VD_major:ER_medium,0.03428678260563407
ER_minor:ER_medium,0.16620429148381613
ER_major:ER_medium,5.768914290641104e-16
MST_minor:ER_medium,0.0597417431820767
MST_medium:ER_medium,0.07976677514773262
MST_major:ER_medium,0.12313465224045111
