variable,relative_importance,scaled_importance,percentage
VD_minor,168533.921875,1,0.229774038704483
MST_major,106727.15625,0.633268098568065,0.145508568590693
ER_medium,100527.6328125,0.596483080047591,0.137056326321425
VD_medium,72276.328125,0.428853297430571,0.0985393541623574
ER_major,68207.921875,0.404713313000508,0.0929926124455984
MST_medium,67567.75,0.400914838082949,0.0921198215228732
VD_major,58461.26953125,0.346881321462454,0.0797043221835763
MST_minor,36970.65234375,0.219366237564748,0.0504046663606594
ER_minor,33075.41015625,0.196253726183277,0.0450940112759353
clade2,21128.736328125,0.125367855284327,0.0288062784323989
