.feature,.interaction
clade2:ER_minor,0.3408141772340447
VD_minor:ER_minor,0.27571573925436077
VD_medium:ER_minor,0.04950159957819959
VD_major:ER_minor,0.16817092652747426
ER_medium:ER_minor,3.3672001565771266e-15
ER_major:ER_minor,0.21738636933491312
MST_minor:ER_minor,0.14387706365999986
MST_medium:ER_minor,1.2038083983902296e-15
MST_major:ER_minor,0.04476167348820519
clade2:VD_medium,0.15886113927396148
VD_minor:VD_medium,0.06840242511455523
VD_major:VD_medium,0.18842759075261695
ER_minor:VD_medium,0.034650700829029386
ER_medium:VD_medium,0.05743821255417237
ER_major:VD_medium,0.10873050575542131
MST_minor:VD_medium,0.039741582153649244
MST_medium:VD_medium,2.849182648595195e-15
MST_major:VD_medium,0.0818714949824333
clade2:VD_minor,8.815623626071937e-16
VD_medium:VD_minor,0.06889214558877614
VD_major:VD_minor,0.0505109863457264
ER_minor:VD_minor,0.27761473667452913
ER_medium:VD_minor,0.028394801700788706
ER_major:VD_minor,0.07248595481752997
MST_minor:VD_minor,0.03795205949878868
MST_medium:VD_minor,0.05173857615304864
MST_major:VD_minor,0.014319631805223419
