variable,relative_importance,scaled_importance,percentage
VD_minor,0.990187346935272,1,0.206832952091671
VD_medium,0.948343753814697,0.957741741247164,0.198092551683568
clade2,0.731083154678345,0.738328112292204,0.152710583077667
ER_minor,0.687140166759491,0.69394965395817,0.143531655531162
VD_major,0.640537142753601,0.64688479885763694,0.133797092610952
ER_major,0.222752511501312,0.22495996559717,0.0465291337869035
MST_major,0.201857447624207,0.203857833822029,0.0421645175764236
ER_medium,0.186364680528641,0.188211535024617,0.0389283474068465
MST_minor,0.110118702054024,0.111209966876321,0.0230018857510464
MST_medium,0.0689922347664833,0.0696759405985353,0.014411280483759
