.feature,.interaction
clade2:ER_major,0.03655037117198432
VD_minor:ER_major,0.16094005378934972
VD_medium:ER_major,0.17585866028489144
VD_major:ER_major,0.02622708948764614
ER_minor:ER_major,0.058345510875673606
ER_medium:ER_major,0.07135074976271522
MST_minor:ER_major,0.044688141731425934
MST_medium:ER_major,0.059773553739887006
MST_major:ER_major,0.1322407397147818
clade2:VD_medium,1.0876801142528518e-15
VD_minor:VD_medium,0.3905764792850811
VD_major:VD_medium,0.17533257274100286
ER_minor:VD_medium,0.10634509675686749
ER_medium:VD_medium,0.11768257635107854
ER_major:VD_medium,0.18029246254480372
MST_minor:VD_medium,5.470224965041174e-16
MST_medium:VD_medium,0.11201388328364621
MST_major:VD_medium,0.04783717261429213
clade2:VD_minor,0.11366097257729638
VD_medium:VD_minor,0.27537635527346566
VD_major:VD_minor,9.54100196240101e-16
ER_minor:VD_minor,0.08821788281904935
ER_medium:VD_minor,0.10552242029812361
ER_major:VD_minor,0.1770821426505961
MST_minor:VD_minor,0.03507307896441811
MST_medium:VD_minor,0.02610595572436837
MST_major:VD_minor,0.1570756939602843
