variable,relative_importance,scaled_importance,percentage
ER_major,3150.03295898438,1,0.335193175212687
ER_medium,1248.03454589844,0.396197297662824,0.132802630214288
VD_minor,997.053283691406,0.316521540146956,0.106095860065068
VD_medium,906.182556152344,0.287673991971345,0.0964263587949843
MST_medium,808.125,0.256544934774446,0.0859921112717781
MST_major,800.562683105469,0.254144224371412,0.0851874095290193
clade2,507.372192382812,0.161068851973663,0.0539891799209142
VD_major,426.992034912109,0.135551608656748,0.0454359741108431
ER_minor,418.545745849609,0.132870275104853,0.0445372094037791
MST_minor,134.763366699219,0.0427815735434936,0.0143400914766387
