.feature,.interaction
clade2:ER_medium,0.17928401703984057
VD_minor:ER_medium,0.36655787850493227
VD_medium:ER_medium,0.2027869219950823
VD_major:ER_medium,0.29205879219683495
ER_minor:ER_medium,2.433050058034107e-15
ER_major:ER_medium,0.1900309882605899
MST_minor:ER_medium,1.9049862721515685e-15
MST_medium:ER_medium,0.1036501895255562
MST_major:ER_medium,3.0280755774907046e-15
clade2:MST_medium,0.09244142898326806
VD_minor:MST_medium,0.1223743238549451
VD_medium:MST_medium,0.16252819718589706
VD_major:MST_medium,0.1714505151317247
ER_minor:MST_medium,0.10125375434581385
ER_medium:MST_medium,0.09549300883871399
ER_major:MST_medium,0.15265045887845763
MST_minor:MST_medium,0.1485449292911176
MST_major:MST_medium,8.532617473276277e-16
clade2:VD_minor,0.0964301136082314
VD_medium:VD_minor,1.6526009779484594e-15
VD_major:VD_minor,0.09252599448004238
ER_minor:VD_minor,1.0911001554027885e-15
ER_medium:VD_minor,0.470904770691473
ER_major:VD_minor,0.20125377375643022
MST_minor:VD_minor,1.5494633411612685e-15
MST_medium:VD_minor,0.12510347309356964
MST_major:VD_minor,0.15355085266176627
