variable,relative_importance,scaled_importance,percentage
VD_minor,160094.046875,1,0.203627512777492
MST_minor,100926.484375,0.630419970917485,0.128370850683186
ER_major,90952.7265625,0.568120603719357,0.11568498549302
MST_medium,90432.7734375,0.564872805720934,0.115023644464597
VD_medium,84988.2734375,0.530864670463719,0.10809865246797
VD_major,79555.2265625,0.496928075187056,0.101188227979647
ER_medium,76223.3203125,0.476115894378099,0.0969502953660436
ER_minor,41927.78125,0.261894692953429,0.0533289649357318
clade2,40769.0078125,0.254656613461287,0.0518550928114611
MST_major,20340.654296875,0.127054407667993,0.0258717730208509
