variable,relative_importance,scaled_importance,percentage
clade2,12.3014259338379,1,0.192471580843996
VD_minor,11.8197994232178,0.960847912005445,0.18493591657434
VD_major,6.89631271362305,0.560610838996572,0.107901654419949
MST_minor,6.66321039199829,0.541661627508532,0.104254469729099
MST_medium,6.18156862258911,0.502508299105821,0.0967185667161247
ER_major,6.00465536117554,0.488126774365105,0.0939505319143321
MST_major,4.34097528457642,0.352883910200652,0.06792012405073
VD_medium,4.15534543991089,0.337793802300647,0.0650157071281097
ER_minor,3.05016255378723,0.2479519504643,0.047723703879216
ER_medium,2.4994912147522,0.203187112469358,0.0391077447441041
