.feature,.interaction
clade2:VD_minor,0.08819800792902019
VD_medium:VD_minor,0.07848323082215966
VD_major:VD_minor,0.15394671954428546
ER_minor:VD_minor,0
ER_medium:VD_minor,1.6824396286737156e-15
ER_major:VD_minor,0.034410726350301984
MST_minor:VD_minor,2.2841209408662363e-15
MST_medium:VD_minor,0.13561994368424632
MST_major:VD_minor,0.19642239388833244
clade2:ER_major,0.05438004235446358
VD_minor:ER_major,0.03966042257439798
VD_medium:ER_major,0.15831543037298146
VD_major:ER_major,0.07310406528500585
ER_minor:ER_major,0
ER_medium:ER_major,0.03755270654678212
MST_minor:ER_major,0.09123635259607699
MST_medium:ER_major,0.10505685718125922
MST_major:ER_major,0.04678701046402149
clade2:VD_medium,2.4998053763117088e-15
VD_minor:VD_medium,0.07868739407401246
VD_major:VD_medium,0.054172052978776225
ER_minor:VD_medium,0
ER_medium:VD_medium,0.0674108666893067
ER_major:VD_medium,0.14451196232049837
MST_minor:VD_medium,0.0434534425763469
MST_medium:VD_medium,0.04982777428722912
MST_major:VD_medium,0.04602207342574261
