.feature,.interaction
clade2:ER_medium,0.15633024399746118
VD_minor:ER_medium,0.1012114718675864
VD_medium:ER_medium,0.18451691409407056
VD_major:ER_medium,0.07719936519874646
ER_minor:ER_medium,0.03963079023633697
ER_major:ER_medium,0.3380810273469399
MST_minor:ER_medium,0.028642522228051682
MST_medium:ER_medium,0.09965762696720144
MST_major:ER_medium,0.018512235636164533
clade2:VD_medium,0.25778391463624
VD_minor:VD_medium,0.14292415688215918
VD_major:VD_medium,0.18780204470514042
ER_minor:VD_medium,0.21667063876217565
ER_medium:VD_medium,0.1373205200014921
ER_major:VD_medium,0.19312009435232752
MST_minor:VD_medium,0.050604306926624314
MST_medium:VD_medium,0.16185016015080306
MST_major:VD_medium,0.18522032853333695
clade2:ER_major,0.10815978151228767
VD_minor:ER_major,0.04233650371301951
VD_medium:ER_major,0.1627089716973614
VD_major:ER_major,0.12577363133959624
ER_minor:ER_major,0.16993642978443488
ER_medium:ER_major,0.3196573797426069
MST_minor:ER_major,0.10184843634351172
MST_medium:ER_major,0.06736148361303382
MST_major:ER_major,0.013852595927498998
