.feature,.interaction
clade2:ER_major,1.1540779714585539e-15
VD_minor:ER_major,0.021818291199360337
VD_medium:ER_major,0.023207336594350435
VD_major:ER_major,8.91778605571108e-16
ER_minor:ER_major,0.3040093694199922
ER_medium:ER_major,0.05868552529422045
MST_minor:ER_major,5.766312327724581e-16
MST_medium:ER_major,0.15889479322204408
MST_major:ER_major,0.1247928406174326
clade2:MST_major,0.05194228192384849
VD_minor:MST_major,0.11086257173840948
VD_medium:MST_major,0.09502356426765045
VD_major:MST_major,0.12883687142746023
ER_minor:MST_major,0.16111458585911315
ER_medium:MST_major,0.006736049718767727
ER_major:MST_major,0.11359889443090598
MST_minor:MST_major,0.059333158659532204
MST_medium:MST_major,0.13465178400449812
clade2:VD_medium,4.3505119420516527e-16
VD_minor:VD_medium,0.1473448199658193
VD_major:VD_medium,0.041844823249534216
ER_minor:VD_medium,0.14066177843175232
ER_medium:VD_medium,1.8541929524183566e-15
ER_major:VD_medium,0.02079026205147506
MST_minor:VD_medium,0.1185519340019751
MST_medium:VD_medium,0.3716801877812205
MST_major:VD_medium,0.08265302742356068
