variable,relative_importance,scaled_importance,percentage
ER_major,1547524.75,1,0.231942805448889
MST_minor,1069996.375,0.691424402097608,0.16037091557834
MST_medium,845350.0625,0.546259478240978,0.126700955886259
MST_major,835269,0.539745164011109,0.125190007568207
VD_major,654490.9375,0.422927605842814,0.0980950154009644
VD_minor,579553.9375,0.374503824575342,0.0868634677233435
VD_medium,461104.40625,0.297962540663728,0.0691102676002237
ER_minor,388603.09375,0.251112684142855,0.0582437804438945
clade2,171614.796875,0.110896318055656,0.0257216031237812
ER_medium,118502.78125,0.0765756937005369,0.0177611812260974
