.feature,.interaction
clade2:ER_major,0.008114406679829414
VD_minor:ER_major,0.10352492500867026
VD_medium:ER_major,0.05883130879782376
VD_major:ER_major,0.14884909942552219
ER_minor:ER_major,0.08855416766434047
ER_medium:ER_major,0.01836731556010638
MST_minor:ER_major,0.03377778082160934
MST_medium:ER_major,0.36533520873003894
MST_major:ER_major,0.45330793752116705
clade2:VD_medium,0.010751756269337323
VD_minor:VD_medium,0.11738253450614619
VD_major:VD_medium,0.14543475242278645
ER_minor:VD_medium,0.06544911435007769
ER_medium:VD_medium,1.032450964246113e-15
ER_major:VD_medium,0.06818397527903669
MST_minor:VD_medium,0.05132149419923453
MST_medium:VD_medium,0.2534400965523355
MST_major:VD_medium,0.22091599863693984
clade2:MST_minor,0.004216947236733648
VD_minor:MST_minor,0.2312518446713521
VD_medium:MST_minor,0.051140501627327965
VD_major:MST_minor,0.10509443238986947
ER_minor:MST_minor,0.09380132052789426
ER_medium:MST_minor,0.28243000258667117
ER_major:MST_minor,0.037305994469125636
MST_medium:MST_minor,0.060096988727695054
MST_major:MST_minor,0.0799212098787864
