variable,relative_importance,scaled_importance,percentage
clade2,2624967680,1,0.181898495676567
VD_minor,2132771200,0.812494270405645,0.147791485532617
MST_minor,1726040576,0.65754736302124694,0.119606876169658
VD_medium,1498149120,0.570730501337068,0.103815019629946
ER_major,1441565056,0.549174402025399,0.0998939975924985
VD_major,1400498816,0.533529927499907,0.0970482912106611
ER_minor,1173325056,0.446986477182073,0.0813061677871874
MST_medium,1129012480,0.430105288001108,0.0782355048699382
MST_major,934935616,0.35617033425722,0.0647868480060085
ER_medium,369682112,0.140833014751633,0.0256173135249179
