.feature,.interaction
clade2:MST_major,1.820879144056962e-16
VD_minor:MST_major,0.04541450482951073
VD_medium:MST_major,0.20887301357441726
VD_major:MST_major,3.374909436802924e-16
ER_minor:MST_major,0.05306385153052851
ER_medium:MST_major,0
ER_major:MST_major,1.7317295905499073e-16
MST_minor:MST_major,0.20078863982203918
MST_medium:MST_major,0.33104253596928634
clade2:MST_medium,7.738105312890555e-17
VD_minor:MST_medium,1.4860527487649117e-15
VD_medium:MST_medium,0.12426691577798595
VD_major:MST_medium,8.711488479406551e-16
ER_minor:MST_medium,8.594172817166085e-16
ER_medium:MST_medium,0.0793910774284763
ER_major:MST_medium,5.013825631348973e-16
MST_minor:MST_medium,0.08661904811168145
MST_major:MST_medium,0.22254210254835344
clade2:MST_minor,0.09893032300267918
VD_minor:MST_minor,0.07145640145609225
VD_medium:MST_minor,1.5857483039725553e-15
VD_major:MST_minor,1.0299119568985457e-15
ER_minor:MST_minor,0.1273822206140227
ER_medium:MST_minor,0.16450515132620958
ER_major:MST_minor,0.11224575653863267
MST_medium:MST_minor,0.08794388028004309
MST_major:MST_minor,0.17521187678290037
