variable,relative_importance,scaled_importance,percentage
MST_major,998171072,1,0.206884051213636
MST_medium,753992320,0.755373844374444,0.156274801105004
ER_medium,586757504,0.587832607515198,0.121613191278219
ER_major,506916992,0.507845805413203,0.105065197615735
VD_medium,440393280,0.441200203405614,0.0912772854768337
ER_minor,373146432,0.373830140411042,0.0773394939139987
MST_minor,340662112,0.341286300070215,0.0706066923822387
clade2,339420000,0.340041912174349,0.0703492483730608
VD_minor,305012256,0.305571123583914,0.0632177919809428
VD_major,180313056,0.180643439845149,0.0373722466603312
