.feature,.interaction
clade2:ER_major,6.140211879317128e-16
VD_minor:ER_major,0.01873453682407061
VD_medium:ER_major,0.05491568045492383
VD_major:ER_major,0.0793164083260244
ER_minor:ER_major,0.32958084595202664
ER_medium:ER_major,0.04506527776713896
MST_minor:ER_major,0.007765963365861232
MST_medium:ER_major,0.08398922596616373
MST_major:ER_major,0.09117168644284289
clade2:VD_minor,2.018814780102318e-16
VD_medium:VD_minor,0.09981183459270804
VD_major:VD_minor,0.01689145119302756
ER_minor:VD_minor,0.011274220243945879
ER_medium:VD_minor,0.021550737222694696
ER_major:VD_minor,0.07265735946357418
MST_minor:VD_minor,0.005468042059322714
MST_medium:VD_minor,0.0981574582186681
MST_major:VD_minor,2.348190387647539e-16
clade2:MST_major,0.06956417197125346
VD_minor:MST_major,2.0244719887074037e-16
VD_medium:MST_major,5.523491734436149e-16
VD_major:MST_major,2.5735392886672177e-15
ER_minor:MST_major,0.009174065161049114
ER_medium:MST_major,0.09197456692137065
ER_major:MST_major,0.10665206571456819
MST_minor:MST_major,2.4122651965298986e-16
MST_medium:MST_major,5.161012933349886e-16
