variable,relative_importance,scaled_importance,percentage
ER_medium,926026.125,1,0.221411131877143
MST_minor,812276.6875,0.877163900208539,0.194213851986942
VD_minor,687935.6875,0.742890150642348,0.164484149114104
ER_minor,659993.6875,0.712716055932007,0.157803268650919
MST_medium,465997.46875,0.503222809993617,0.111419131947083
ER_major,283586.71875,0.306240516432514,0.0678050593699639
VD_medium,131800.375,0.142329002866955,0.0315132256237176
VD_major,119409.6796875,0.128948499900583,0.0285506333168478
MST_major,80911.9375,0.087375437167067,0.0193458944414205
clade2,14444.501953125,0.0155983741313184,0.00345365367185835
