.feature,.interaction
clade2:MST_medium,0.0595232633678898
VD_minor:MST_medium,0.02910053789567272
VD_medium:MST_medium,0.05263357360573464
VD_major:MST_medium,0.10784283089169619
ER_minor:MST_medium,0.02547726231780007
ER_medium:MST_medium,0.0378623542429902
ER_major:MST_medium,0.059322120760026215
MST_minor:MST_medium,0.04343330039546493
MST_major:MST_medium,0.2949581625998023
clade2:ER_major,0.045504562158982353
VD_minor:ER_major,0.02860423712991255
VD_medium:ER_major,0.04225395498401479
VD_major:ER_major,0.021045160212842515
ER_minor:ER_major,0.038996881397667195
ER_medium:ER_major,0.024648105521861474
MST_minor:ER_major,0.135135000774291
MST_medium:ER_major,0.09226887991097238
MST_major:ER_major,0.09071503494934685
clade2:VD_minor,0.019830552660439798
VD_medium:VD_minor,0.0091302047546158
VD_major:VD_minor,0.03543341320337875
ER_minor:VD_minor,0.006849720707050493
ER_medium:VD_minor,0.011054085175498505
ER_major:VD_minor,0.03201470355210362
MST_minor:VD_minor,0.021829134395411474
MST_medium:VD_minor,0.06409221252894447
MST_major:VD_minor,0.1459522236273129
