variable,relative_importance,scaled_importance,percentage
VD_minor,913225.5,1,0.2889911332905
ER_medium,705420.5,0.772449411454236,0.22323103082574
MST_medium,426981.96875,0.467553707983406,0.1351188759443
VD_medium,420353.90625,0.460295848341948,0.133021418861252
MST_minor,194260.3125,0.212718887613191,0.0614738724036306
ER_major,154799.390625,0.169508397022422,0.0489864237577659
MST_major,134672.78125,0.14746936134613,0.0426173378610444
ER_minor,103781.5078125,0.113642805432503,0.0328417631322508
VD_major,81933.7578125,0.0897190867014774,0.0259280205436486
clade2,24617.154296875,0.0269562712570718,0.00779012337986732
