name,nodeID,widthThreshold,nodeArea,nodeDegree,degreeAsymmetry,subtreeDegreeAsymmetry,areaAsymmetry,subtreeAreaAsymmetry,nodeHortonStrahler,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184262,0.073844701,1.652673637,29,0.388888889,0.373840445,0.068638583,-0.049484878,5,1.652673637,5.14212447,1.724424297,1.266767531,0.678497017,63.48148344,0.785437791,1.361279204,15.99919275,13479.80351,401.1363831,11491.81251,0.852520773,0,2.808292398
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184263,0.073845729,0.718414349,9,0.5,0.4375,0.327905925,0.744339673,3,0.718414349,3.58281698,1.30633484,0.742646785,0.82268568,-19.82231755,0.703291898,1.75902578,17.86793029,13479.68283,401.1358337,11491.91825,0.85253625,0,2.808267256
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184264,0.073845893,0.564121411,8,0.4,0.571428571,0.820757591,1.624338176,3,0.564121411,3.32820288,1.141074501,0.663595116,0.813508632,35.20495677,0.639974785,1.719534205,19.6357277,13479.53378,401.1351929,11491.96007,0.85254878,0,2.808236204
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184265,0.073846161,0.916284355,14,0.727272727,0.406593407,0.738394649,6.749907829,3,0.916284355,4.65306745,1.665184543,0.887323946,0.846198231,-57.6316968,0.531816049,1.876636543,23.62916771,13479.44964,401.1347961,11492.06512,0.852561894,0,2.808218675
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184266,0.073846973,1.567754224,42,0.6,0.565853659,0.609907387,-0.225747281,4,1.567754224,8.30110969,3.495036625,0.655503902,0.982254523,58.23471753,0.28590091,5.331831918,43.95358726,13478.86936,401.1322632,11491.70886,0.852572168,1,2.808097783
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184267,0.073847704,3.000404965,58,0.066666667,0.274122807,0.034466297,0.246097195,5,3.000404965,6.96728867,2.237354742,1.751595059,0.622164418,29.2904688,0.776715783,1.277324191,16.17885318,13478.09869,401.1287231,11491.1704,0.852580966,0,2.807937227
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184268,0.073851056,0.076563498,2,0,0,0.256637168,0,2,0.076563498,1.25783408,0.490940579,0.23491228,0.878090645,-69.19884818,0.608113883,2.089888947,20.66450209,13477.74462,401.1272278,11490.92426,0.852585101,0,2.807863463
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184269,0.073854268,0.967391462,15,0.5,0.428571429,0.477482988,22.06549636,3,0.967391462,5.34299987,1.571255153,0.957990953,0.792633889,72.98200912,0.425835424,1.640156568,29.50992307,13476.44704,401.1208801,11489.90288,0.852591402,0,2.807593133
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184270,0.073855251,0.393553871,6,0.5,0.4,0.547947661,1.070613229,3,0.393553871,3.03551864,1.009914555,0.590549329,0.811212279,-17.15110657,0.536720575,1.710127343,23.41324554,13475.41074,401.1159668,11489.11948,0.852598834,0,2.807377238
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184271,0.073857754,0.339386167,5,0.333333333,0.25,0.293600391,0.766945945,3,0.339386167,2.37151462,0.84896243,0.537411424,0.774134258,3.348360995,0.758319788,1.579725312,16.57133417,13474.29994,401.1105347,11488.24785,0.852604432,0,2.807145821
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184272,0.073858336,1.253727286,19,0.642857143,0.691919192,0.631726844,-2.589446211,4,1.253727286,4.48779481,1.494037785,1.119250729,0.662406202,-49.09948107,0.782252497,1.334855315,16.06434069,13473.98312,401.1089783,11488.19737,0.852620734,0,2.807079817
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184273,0.073861688,0.68771122,16,0.769230769,0.626666667,0.928063002,2.504304533,4,0.68771122,3.78949839,1.235275613,0.812563114,0.753193482,-8.092543773,0.601800467,1.520221127,20.8812909,13472.53966,401.1018066,11486.87698,0.852614078,1,2.806779096
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184274,0.073865108,1.795258579,42,0.6875,0.073170732,0.653279883,-0.145267125,5,1.795258579,6.4989674,2.518597006,1.012796595,0.91558377,-2.053378717,0.534131459,2.486774758,23.52673747,13471.78294,401.0984802,11486.37337,0.852624587,0,2.806621446
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184275,0.0738656,0.091720739,2,0,0,0.473726758,0,2,0.091720739,1.37147993,0.58504921,0.213836373,0.930810744,45.38434629,0.612771414,2.735966767,20.5074361,13471.76611,401.0983887,11486.45173,0.852631469,0,2.80661794
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184276,0.073866792,0.452288179,9,0.2,0.416666667,0.032960068,1.230558093,3,0.452288179,3.44685319,1.288137391,0.509028844,0.91860948,-16.33109641,0.478387176,2.530578385,26.26820126,13471.05071,401.0950317,11485.93058,0.852638063,0,2.806468898
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184277,0.073869899,0.4987801,10,0.333333333,0.222222222,0.296216396,1.776753763,3,0.4987801,3.04486541,1.114619859,0.736146682,0.750873186,4.562377269,0.676056171,1.514127396,18.58776114,13469.64998,401.088562,11484.70967,0.852636088,0,2.806177079
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184278,0.073870622,0.173433813,4,0,0,0.67236891,0.254381875,3,0.173433813,1.87652613,0.71055862,0.330579899,0.885184872,25.23516488,0.618919839,2.14943081,20.30371273,13469.43989,401.0877075,11484.70967,0.852649387,0,2.80613331
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184279,0.07387083,0.081810236,2,0,0,0.403791469,0,2,0.081810236,1.15783549,0.425557707,0.255564879,0.799593915,42.66486205,0.766873609,1.665165062,16.38649506,13469.29781,401.0870361,11484.70967,0.852658382,0,2.80610371
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184280,0.073873244,2.268533706,47,0.575757576,0.533643892,0.633581085,0.009453584,4,2.268533706,6.0632727,1.95162402,1.538213442,0.615456324,-64.60531415,0.775426962,1.268760217,16.20574371,13468.98338,401.0857239,11484.62694,0.852672145,0,2.806038204
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184281,0.073873378,0.371789628,6,0.8,0.6,0.940907833,0.978381985,2,0.371789628,2.67924709,0.877366892,0.599518549,0.730123065,61.03969434,0.650851033,1.463452455,19.3075988,13468.93289,401.0854797,11484.69833,0.852680641,0,2.806027685
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184282,0.073876508,1.854770181,39,0.945945946,0.799342105,0.896720127,0.410134567,4,1.854770181,5.78379661,1.834695435,1.385514871,0.655524028,-8.752662298,0.696745134,1.324197577,18.03582113,13468.15188,401.0821533,11484.19063,0.852692391,0,2.805864975
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184283,0.073877551,3.342754567,63,0.833333333,0.520713073,0.777007572,0.38846802,4,3.342754567,9.00596488,3.740650226,1.183202237,0.948656136,-19.81508758,0.517909475,3.161463113,24.26364299,13467.71846,401.0801392,11484.00722,0.852706215,0,2.805774679
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184284,0.073877692,0.878051187,15,0.75,0.785714286,0.922434866,2.773075322,4,0.878051187,3.92300874,1.395865245,0.853994638,0.791010118,-6.89064446,0.71695376,1.634512892,17.52744921,13467.62974,401.0798645,11484.15698,0.852722951,0,2.805756196
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184285,0.073880941,1.726127958,28,0.833333333,0.888888889,0.847556031,0.348453821,4,1.726127958,5.70039359,2.068237479,1.134187594,0.836226874,35.04266307,0.667533652,1.823540911,18.82507431,13464.89956,401.065979,11481.6549,0.85271003,0,2.805187408
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184286,0.073881283,1.797833366,45,0.269230769,0.82645751,0.242198262,-0.221698427,5,1.797833366,5.74713441,2.086103002,1.171318316,0.827486013,-50.51524492,0.684000772,1.780987262,18.37186613,13464.76952,401.0653992,11481.71862,0.852722997,0,2.805160317
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184287,0.073883183,2.36588983,55,0.981481481,0.785185185,0.968963035,0.652557412,4,2.36588983,7.2566064,2.59056905,1.267351145,0.872161942,-8.115932797,0.564595284,2.044081516,22.25730707,13463.87311,401.0612488,11481.04843,0.852729994,0,2.804973565
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184288,0.073886335,1.886493509,24,0.153846154,0.869565217,0.47226375,-0.060855253,4,1.886493509,5.56200424,1.855931577,1.334151109,0.695157028,87.02958575,0.766306568,1.391095479,16.39862052,13462.85004,401.0567322,11480.2927,0.85273866,0,2.804760425
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184289,0.073889591,1.442366921,36,0.971428571,0.846082949,0.958099382,0.761083452,4,1.442366921,4.98883326,1.605500504,1.219455649,0.650450563,-55.63790318,0.728261984,1.31657146,17.25528847,13461.27337,401.0489807,11478.89584,0.85273477,0,2.804431952
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184290,0.073890902,1.340395612,22,0.705882353,0.857142857,0.694102613,-1.181421205,4,1.340395612,4.73685382,1.567522685,1.160319524,0.67235921,45.3527121,0.750693916,1.35094054,16.73967291,13460.09716,401.043396,11477.9379,0.852738116,0,2.804186908
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184291,0.073893964,2.430551008,53,0.675,0.77972028,0.65526139,0.095223278,4,2.430551008,7.32528878,2.41183162,1.500687703,0.782843145,-63.04666143,0.569200278,1.607150918,22.07723909,13459.29742,401.0397034,11477.46793,0.852753868,0,2.804020296
UCBG-Cisant20010620-B01-1_20200131_2253_01_01_01__stitch_crop_HLD,184292,0.073897891,2.038308821,52,0.93877551,0.920734251,0.951913469,0.728453292,4,2.038308821,6.70955898,2.106209501,1.349064951,0.767943214,-68.86103764,0.568973315,1.561236543,22.08604566,13457.98013,401.0333862,11476.30258,0.852750745,0,2.80374586
