name,nodeID,widthThreshold,nodeArea,nodeDegree,degreeAsymmetry,subtreeDegreeAsymmetry,areaAsymmetry,subtreeAreaAsymmetry,nodeHortonStrahler,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,1,0,0.04994519,1,0,0,0,0,1,0.04994519,0.87765216,0.30323062,0.222404512,0.679743357,-59.28088551,0.81481438,1.363419372,15.42237216,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,2,0,0.121611571,1,0,0,0,0,1,0.121611571,1.41017184,0.560022583,0.294029916,0.851082334,-10.64572584,0.768494366,1.904644912,16.35193591,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,3,0,0.075233894,1,0,0,0,0,1,0.075233894,1.14213792,0.443850164,0.230337137,0.854803098,50.94427984,0.724746799,1.926958756,17.3389805,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,4,0,0.236855808,1,0,0,0,0,1,0.236855808,1.97474592,0.723637586,0.439835132,0.794081465,78.30964436,0.763258153,1.645247353,16.46411579,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,5,0,0.054009446,1,0,0,0,0,1,0.054009446,1.2209568,0.580055298,0.138592047,0.971037034,31.93218376,0.455280442,4.185343318,27.6013847,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,6,0,0.054370714,1,0,0,0,0,1,0.054370714,0.93984576,0.384807583,0.186220401,0.875106039,41.56492133,0.773502504,2.066409375,16.24606326,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,7,0,0.081149645,1,0,0,0,0,1,0.081149645,1.08905664,0.341573379,0.314988178,0.386788615,-28.18473767,0.859796262,1.08440063,14.61552134,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,8,0,0.149067878,1,0,0,0,0,1,0.149067878,1.58551008,0.541525559,0.380546126,0.711456875,44.17875809,0.745170956,1.423022131,16.86374181,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,9,0,0.057035059,1,0,0,0,0,1,0.057035059,0.9309552,0.373843274,0.202995911,0.839734402,-40.94610185,0.826978458,1.841629577,15.19552354,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
UCBG-Diolyc491820-B01-7_20200201_0111_01_01_01__stitch_CNN_1,10,0,0.254061158,1,0,0,0,0,1,0.254061158,2.75660448,0.900615109,0.463360015,0.857494682,82.17729474,0.420145022,1.943661687,29.9096025,2039.14686,5.67925787,1145.112915,0.56156471,1,5.037418132
