name,nodeID,widthThreshold,nodeArea,nodeDegree,degreeAsymmetry,subtreeDegreeAsymmetry,areaAsymmetry,subtreeAreaAsymmetry,nodeHortonStrahler,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
UCBG_Dipesc560655_B01_4_crop_HLD,1,0,30.44257286,1,0,0,0,0,1,30.44257286,119.7466475,35.80528465,9.035918379,0.967632713,-81.4213604,0.026678689,3.962550695,471.0265346,654.2519313,5.321826935,376.8837674,0.576052969,1,4.546889508
UCBG_Dipesc560655_B01_4_crop_HLD,2,0,0.0271535,1,0,0,0,0,1,0.0271535,0.6461208,0.252418301,0.149238089,0.806500627,-51.81834084,0.817350331,1.691379881,15.37452196,654.2519313,5.321826935,376.8837674,0.576052969,0,4.546889508
UCBG_Dipesc560655_B01_4_crop_HLD,3,0,0.084072362,1,0,0,0,0,1,0.084072362,1.15504272,0.423959342,0.272024519,0.767015319,-11.7708068,0.791893942,1.558533564,15.86875457,654.2519313,5.321826935,376.8837674,0.576052969,0,4.546889508
UCBG_Dipesc560655_B01_4_crop_HLD,4,0,0.06657782,1,0,0,0,0,1,0.06657782,1.06634502,0.421451967,0.215416499,0.859503763,-31.52913816,0.73577317,1.956451664,17.07913679,654.2519313,5.321826935,376.8837674,0.576052969,0,4.546889508
UCBG_Dipesc560655_B01_4_crop_HLD,5,0,0.058446554,1,0,0,0,0,1,0.058446554,1.01733138,0.385843753,0.221702912,0.818439676,-24.52766749,0.709649492,1.740363939,17.70785545,654.2519313,5.321826935,376.8837674,0.576052969,0,4.546889508
UCBG_Dipesc560655_B01_4_crop_HLD,6,0,0.145623582,1,0,0,0,0,1,0.145623582,1.66973508,0.702451587,0.273379861,0.921161876,-45.53529148,0.656366535,2.569507443,19.14535544,654.2519313,5.321826935,376.8837674,0.576052969,0,4.546889508
UCBG_Dipesc560655_B01_4_crop_HLD,7,0,0.062093304,1,0,0,0,0,1,0.062093304,0.96426018,0.361575746,0.232734247,0.765305985,-33.94703313,0.839201339,1.553599224,14.97420229,654.2519313,5.321826935,376.8837674,0.576052969,0,4.546889508
UCBG_Dipesc560655_B01_4_crop_HLD,8,0,0.019909282,1,0,0,0,0,1,0.019909282,0.54951156,0.223250697,0.115976588,0.854476302,-25.18821062,0.828536771,1.924963482,15.16694377,654.2519313,5.321826935,376.8837674,0.576052969,0,4.546889508
UCBG_Dipesc560655_B01_4_crop_HLD,9,0,0.059678564,1,0,0,0,0,1,0.059678564,0.98180316,0.340667844,0.242185859,0.703278004,-43.85737624,0.777999612,1.406638047,16.15215538,654.2519313,5.321826935,376.8837674,0.576052969,0,4.546889508
UCBG_Dipesc560655_B01_4_crop_HLD,10,0,0.13916785,1,0,0,0,0,1,0.13916785,1.56986856,0.582954529,0.319714304,0.836191348,15.50212538,0.709614036,1.823360798,17.70874022,654.2519313,5.321826935,376.8837674,0.576052969,0,4.546889508
