name,nodeID,widthThreshold,nodeArea,nodeDegree,degreeAsymmetry,subtreeDegreeAsymmetry,areaAsymmetry,subtreeAreaAsymmetry,nodeHortonStrahler,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
UCBG-Metdav930209-B01_crop_HLD,1,0,314.730957,1,0,0,0,0,1,314.730957,235.2595793,135.8012948,48.35851169,0.934448777,-63.70901984,0.071458631,2.808219072,175.8551817,4062.003317,52.00392532,3210.008541,0.790252565,1,1.419893636
UCBG-Metdav930209-B01_crop_HLD,2,0,2.74067889,1,0,0,0,0,1,2.74067889,6.32347308,2.133444862,1.698522904,0.605111167,-30.49675548,0.861304409,1.256058931,14.5899295,4062.003317,52.00392532,3210.008541,0.790252565,0,1.419893636
UCBG-Metdav930209-B01_crop_HLD,3,0,5.823464953,1,0,0,0,0,1,5.823464953,9.53880624,3.209096948,2.395009774,0.665588512,-23.00490132,0.804272605,1.33990975,15.62451654,4062.003317,52.00392532,3210.008541,0.790252565,0,1.419893636
UCBG-Metdav930209-B01_crop_HLD,4,0,1.534082339,1,0,0,0,0,1,1.534082339,4.90434853,1.624117125,1.265041717,0.627135225,-55.18185757,0.801485892,1.283844716,15.67884193,4062.003317,52.00392532,3210.008541,0.790252565,0,1.419893636
UCBG-Metdav930209-B01_crop_HLD,5,0,10.6972045,1,0,0,0,0,1,10.6972045,13.04702598,3.791211037,3.765360628,0.116578417,10.56620624,0.789690854,1.006865321,15.9130254,4062.003317,52.00392532,3210.008541,0.790252565,0,1.419893636
UCBG-Metdav930209-B01_crop_HLD,6,0,3.434530059,1,0,0,0,0,1,3.434530059,8.42215843,3.222130249,1.510565033,0.883299339,-48.94507302,0.608457673,2.133062913,20.65282627,4062.003317,52.00392532,3210.008541,0.790252565,0,1.419893636
UCBG-Metdav930209-B01_crop_HLD,7,0,5.248412535,1,0,0,0,0,1,5.248412535,9.00579185,3.076447541,2.291542464,0.667213622,-88.36669239,0.813193724,1.342522597,15.45310821,4062.003317,52.00392532,3210.008541,0.790252565,0,1.419893636
UCBG-Metdav930209-B01_crop_HLD,8,0,11.34420078,1,0,0,0,0,1,11.34420078,13.57423987,4.888800397,3.075746653,0.777290884,78.651205,0.773664607,1.589467843,16.24265928,4062.003317,52.00392532,3210.008541,0.790252565,0,1.419893636
UCBG-Metdav930209-B01_crop_HLD,9,0,3.421570195,1,0,0,0,0,1,3.421570195,7.84787026,2.957334322,1.551139512,0.851406769,18.72265825,0.698122586,1.906555986,18.00023501,4062.003317,52.00392532,3210.008541,0.790252565,0,1.419893636
UCBG-Metdav930209-B01_crop_HLD,10,0,1.580106471,1,0,0,0,0,1,1.580106471,4.92649355,1.715344308,1.217912442,0.704191105,19.87450309,0.818126346,1.408429907,15.3599388,4062.003317,52.00392532,3210.008541,0.790252565,0,1.419893636
