name,nodeID,widthThreshold,nodeArea,nodeDegree,degreeAsymmetry,subtreeDegreeAsymmetry,areaAsymmetry,subtreeAreaAsymmetry,nodeHortonStrahler,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,1,0,346.1322213,1,0,0,0,0,1,346.1322213,242.6932477,123.0839077,36.56129874,0.954863887,-77.0824991,0.073847621,3.366508081,170.1662222,7144.939747,52.56192017,4633.074844,0.648441416,1,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,2,0,0.006260571,1,0,0,0,0,1,0.006260571,0.33856784,0.122729497,0.083225906,0.734946845,59.89118973,0.686329107,1.474654987,18.30954055,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,3,0,0.009230915,1,0,0,0,0,1,0.009230915,0.35210136,0.142893441,0.083812051,0.809923646,69.83236916,0.935662492,1.704927148,13.43045246,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,4,0,0.003838598,1,0,0,0,0,1,0.003838598,0.22015968,0.089942146,0.057050974,0.773080878,-15.17418344,0.995192218,1.576522523,12.62707886,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,5,0,0.01274963,1,0,0,0,0,1,0.01274963,0.44496348,0.150636812,0.118870256,0.614241329,50.96143948,0.809205308,1.267237222,15.52927358,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,6,0,0.004615458,1,0,0,0,0,1,0.004615458,0.24928852,0.091664467,0.071604783,0.6243286,-19.42096389,0.933297433,1.28014448,13.46448643,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,7,0,0.002193485,1,0,0,0,0,1,0.002193485,0.17884256,0.09464,0.030231639,0.947607083,0,0.861792554,3.130495168,14.58166533,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,8,0,0.003792901,1,0,0,0,0,1,0.003792901,0.21518432,0.080850902,0.064300574,0.606218453,5.004576449,1.029342973,1.257390035,12.20814728,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,9,0,0.005346619,1,0,0,0,0,1,0.005346619,0.26320736,0.102235401,0.071367679,0.7160275,7.761444107,0.969824295,1.43251684,12.95736834,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,10,0,0.006946035,1,0,0,0,0,1,0.006946035,0.29675048,0.114920904,0.08005028,0.717490315,-17.4063429,0.99120614,1.435609028,12.67785792,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,11,0,0.000137093,1,0,0,0,0,1,0.000137093,0.02090868,0.017454245,0.011923519,0.730296743,45,3.940680989,1.463850109,3.188883,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,12,0,0.000137093,1,0,0,0,0,1,0.000137093,0.02090868,0.017454245,0.011923519,0.730296743,-45,3.940680989,1.463850109,3.188883,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,13,0,0.000456976,1,0,0,0,0,1,0.000456976,0.05831176,0.028144124,0.022677088,0.59225774,45,1.688849526,1.241081931,7.4407876,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,14,0,0.002924646,1,0,0,0,0,1,0.002924646,0.24375208,0.122580566,0.032544487,0.964112327,-16.6600101,0.618566747,3.766553932,20.31530256,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,15,0,0.001233835,1,0,0,0,0,1,0.001233835,0.13048828,0.050012901,0.036075645,0.69259489,-88.2267707,0.91059237,1.386334228,13.80021515,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,16,0,0.002604763,1,0,0,0,0,1,0.002604763,0.24263668,0.10424078,0.044664303,0.903554843,-40.34004509,0.555987723,2.333872302,22.60188507,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,17,0,0.000456976,1,0,0,0,0,1,0.000456976,0.05506696,0.028786278,0.02168826,0.657535506,90,1.893743052,1.327274663,6.6357316,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,18,0,0.000502674,1,0,0,0,0,1,0.000502674,0.06021132,0.028144124,0.024714611,0.478395283,-71.56505118,1.74236703,1.138764607,7.212240818,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,19,0,0.006306269,1,0,0,0,0,1,0.006306269,0.3015636,0.103972366,0.082117178,0.613366903,-60.46648007,0.871413942,1.26614637,14.42066739,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,20,0,0.008225568,1,0,0,0,0,1,0.008225568,0.3306316,0.116302682,0.096507553,0.558066164,-9.917394961,0.94555554,1.205114813,13.28993389,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,21,0,0.000411278,1,0,0,0,0,1,0.000411278,0.05193708,0.027402953,0.020445882,0.665811885,20.30064732,1.915978834,1.340267608,6.558721,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,22,0,0.001462323,1,0,0,0,0,1,0.001462323,0.1273584,0.054405446,0.036366624,0.743768588,-44.06290343,1.132916874,1.496026856,11.09205,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,23,0,0.000639766,1,0,0,0,0,1,0.000639766,0.07922044,0.042888175,0.020943862,0.872655404,-49.90675893,1.281022598,2.047768255,9.809640071,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,24,0,0.000456976,1,0,0,0,0,1,0.000456976,0.06082648,0.029414416,0.02235234,0.650027085,-18.43494882,1.552093522,1.315943508,8.0964004,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
UCBG-Polcri20030330-B01-3_20200131_2243_01_01_01__stitch_crop_HLD,25,0,0.000137093,1,0,0,0,0,1,0.000137093,0.02090868,0.017454245,0.011923519,0.730296743,45,3.940680989,1.463850109,3.188883,7144.939747,52.56192017,4633.074844,0.648441416,0,3.112843035
