name,nodeID,widthThreshold,nodeArea,nodeDegree,degreeAsymmetry,subtreeDegreeAsymmetry,areaAsymmetry,subtreeAreaAsymmetry,nodeHortonStrahler,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
Copy of UCreim-sc-AspObl-1099_CNN_1,1,0,2993.992705,1,0,0,0,0,1,2993.992705,356.7477022,129.9763636,29.8982622,0.973183903,-59.28764069,0.295623009,4.347288236,42.50809389,2346.605554,12.33487511,2340.71347,0.997489104,1,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,2,0,0.01121481,1,0,0,0,0,1,0.01121481,0.3433278,0.133445377,0.114895396,0.50861857,59.62441317,1.19559432,1.161451036,10.510564,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,3,0,0.017046511,1,0,0,0,0,1,0.017046511,0.41093436,0.163110429,0.137671418,0.536283201,67.61843341,1.268529175,1.184780628,9.906252737,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,4,0,0.020186658,1,0,0,0,0,1,0.020186658,0.46261356,0.174356591,0.154339739,0.465218472,-88.05395237,1.185325349,1.129693445,10.60162142,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,5,0,0.014354957,1,0,0,0,0,1,0.014354957,0.39517644,0.150427214,0.128977402,0.514638317,65.76946842,1.155126813,1.166306743,10.87878013,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,6,0,0.004037332,1,0,0,0,0,1,0.004037332,0.18462606,0.104716723,0.054686525,0.852802865,45,1.488395271,1.914854216,8.442898778,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,7,0,0.007626071,1,0,0,0,0,1,0.007626071,0.27203592,0.112134864,0.094275341,0.541451854,-7.018121734,1.29496548,1.189440021,9.704019765,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,8,0,0.018392288,1,0,0,0,0,1,0.018392288,0.43283448,0.165776397,0.146925357,0.463137682,64.26509001,1.23367832,1.128303515,10.1860999,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,9,0,0.008971848,1,0,0,0,0,1,0.008971848,0.30969396,0.139981806,0.088616971,0.774102209,-20.42410837,1.175509926,1.579627513,10.6901442,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,10,0,0.004037332,1,0,0,0,0,1,0.004037332,0.18462606,0.104716723,0.054686525,0.852802865,45,1.488395271,1.914854216,8.442898778,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,11,0,0.009869033,1,0,0,0,0,1,0.009869033,0.33159408,0.130040663,0.106255321,0.576505819,0,1.127900839,1.223850832,11.14137891,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,12,0,0.008074663,1,0,0,0,0,1,0.008074663,0.30776658,0.166568362,0.06715153,0.915135248,41.71528905,1.071251304,2.480484984,11.73055339,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,13,0,0.036335984,1,0,0,0,0,1,0.036335984,0.69453456,0.269113645,0.187742198,0.71645661,29.09506957,0.94658381,1.433421194,13.27549709,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,14,0,0.011663402,1,0,0,0,0,1,0.011663402,0.34349724,0.149431115,0.107656602,0.693514151,-30.57723175,1.242191691,1.388034854,10.11628938,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,15,0,0.027812729,1,0,0,0,0,1,0.027812729,0.71065254,0.299062531,0.145112199,0.874390104,65.98093078,0.692052178,2.060905508,18.15812595,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,16,0,0.015252142,1,0,0,0,0,1,0.015252142,0.486081,0.248648485,0.083835948,0.941445021,67.72264156,0.811191519,2.965893387,15.49125,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,17,0,0.021981028,1,0,0,0,0,1,0.021981028,0.50412636,0.22091268,0.131343881,0.804057814,40.35451457,1.086873606,1.681941165,11.56194294,2346.605554,12.33487511,2340.71347,0.997489104,0,0.780897752
Copy of UCreim-sc-AspObl-1099_CNN_1,18,0.02118,2994.007957,2,0,0,0.999994906,0,2,2994.007957,356.7477022,129.9768503,29.89820398,0.973184213,-59.28758664,0.295624515,4.347312982,42.50787735,2248.876252,12.08430481,2244.228908,0.997933482,1,0.74837563
Copy of UCreim-sc-AspObl-1099_CNN_1,19,0.027028695,2994.011994,3,0.5,0,0.999998652,0.999993557,2,2994.011994,356.7477022,129.9767896,29.89818813,0.973184216,-59.28758183,0.295624913,4.347313255,42.50782003,2184.395009,11.98017788,2180.685606,0.998301862,1,0.726917717
Copy of UCreim-sc-AspObl-1099_CNN_1,20,0.032877389,2994.01962,4,0.666666667,0.333333333,0.999997453,0.999996104,2,2994.01962,356.7477022,129.9766745,29.89815813,0.973184223,-59.28757282,0.295625666,4.347313769,42.50771175,2149.561214,11.92416,2146.184928,0.998429314,1,0.715325811
Copy of UCreim-sc-AspObl-1099_CNN_1,21,0.035300002,0.013906364,2,0,0,0.590909091,0,2,0.013906364,0.39517644,0.16823419,0.110832055,0.752321401,-28.97748679,1.1190291,1.517919975,11.22970852,2149.381496,11.92398453,2146.401867,0.998613727,0,0.715266004
