name,nodeID,widthThreshold,nodeArea,nodeDegree,degreeAsymmetry,subtreeDegreeAsymmetry,areaAsymmetry,subtreeAreaAsymmetry,nodeHortonStrahler,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
UCreim.sc-PolCor094_CNN_2,1,0,0.060559974,1,0,0,0,0,1,0.060559974,0.95761134,0.307224645,0.269607079,0.479472673,51.27376558,0.82988322,1.139527365,15.14233607,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,2,0,0.039476131,1,0,0,0,0,1,0.039476131,0.7118598,0.29843555,0.176386888,0.806643378,-4.180583218,0.978938731,1.691937274,12.83672841,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,3,0,0.071774784,1,0,0,0,0,1,0.071774784,1.03714224,0.333048437,0.294782902,0.465391013,44.14934255,0.838503952,1.129809209,14.9866564,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,4,0,0.03364443,1,0,0,0,0,1,0.03364443,0.64056792,0.25467592,0.181316684,0.702229513,-56.44532262,1.030368727,1.404591759,12.19599381,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,5,0,0.037681762,1,0,0,0,0,1,0.037681762,0.70398084,0.271281605,0.189436619,0.715802793,-89.88871361,0.955475121,1.432044166,13.15196005,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,6,0,0.005383109,1,0,0,0,0,1,0.005383109,0.22035672,0.102960643,0.076794124,0.666103837,85.11911261,1.393126082,1.340735946,9.020268,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,7,0,0.104970622,1,0,0,0,0,1,0.104970622,1.38885732,0.618796446,0.236806822,0.923877073,-86.50450684,0.683852389,2.613085388,18.37585246,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,8,0,0.059662789,1,0,0,0,0,1,0.059662789,1.0592118,0.368829759,0.231757583,0.777923312,1.010639306,0.668263585,1.591446346,18.80451203,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,9,0,0.017943696,1,0,0,0,0,1,0.017943696,0.4303776,0.169703056,0.14183927,0.549020962,32.79027472,1.217369588,1.1964462,10.32256,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,10,0,0.047550794,1,0,0,0,0,1,0.047550794,0.8232666,0.312907922,0.203194013,0.7604699,86.55947564,0.881630585,1.53994656,14.25355566,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,11,0,0.027364136,1,0,0,0,0,1,0.027364136,0.5589402,0.1961566,0.184222942,0.343472874,-63.16225915,1.100679603,1.064778349,11.41691967,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,12,0,0.036784577,1,0,0,0,0,1,0.036784577,0.76985064,0.33982493,0.15033205,0.896827275,-62.01707025,0.779942664,2.260495554,16.1119159,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,13,0,0.092858627,1,0,0,0,0,1,0.092858627,1.40340798,0.52270953,0.270472969,0.855717003,-6.225838373,0.592467099,1.932575854,21.21024213,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,14,0,0.019289473,1,0,0,0,0,1,0.019289473,0.48362412,0.19401453,0.138074553,0.70251271,76.03206963,1.036368791,1.405143281,12.12538502,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,15,0,0.046205017,1,0,0,0,0,1,0.046205017,0.763539,0.270879429,0.227010606,0.545592869,30.19447812,0.99594774,1.193245701,12.6175,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,16,0,0.093307219,1,0,0,0,0,1,0.093307219,1.17779862,0.381643254,0.334505349,0.481425538,-82.5095151,0.845245813,1.140918241,14.86711962,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,17,0,0.014354957,1,0,0,0,0,1,0.014354957,0.37274682,0.150980437,0.128083337,0.52944554,-82.43307685,1.298326315,1.178767204,9.678900031,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,18,0,0.059662789,1,0,0,0,0,1,0.059662789,0.94763556,0.355172857,0.230208395,0.761505243,-88.1847329,0.834892804,1.542831907,15.05147792,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,19,0,0.01300918,1,0,0,0,0,1,0.01300918,0.35908572,0.144193521,0.119596566,0.558629882,-13.28252559,1.267837241,1.205666065,9.911659172,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,20,0,0.019289473,1,0,0,0,0,1,0.019289473,0.50412636,0.21481834,0.123484959,0.81826981,17.6516908,0.953787042,1.73963163,13.1752373,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,21,0,0.136820682,1,0,0,0,0,1,0.136820682,1.55300232,0.448534012,0.4271728,0.304927733,-14.3473649,0.712881601,1.05000602,17.62757041,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,22,0,0.040821908,1,0,0,0,0,1,0.040821908,0.77230752,0.310761426,0.181181242,0.812455226,-78.55373536,0.860047902,1.715196466,14.61124501,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,23,0,0.051588126,1,0,0,0,0,1,0.051588126,0.95989878,0.376323662,0.19953229,0.847863495,81.59523083,0.703572306,1.886028883,17.86080905,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,24,0,0.108559361,1,0,0,0,0,1,0.108559361,1.34946252,0.534900202,0.268290859,0.865116019,-89.85614034,0.749127065,1.993732489,16.77468511,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,25,0,0.013906364,1,0,0,0,0,1,0.013906364,0.37713108,0.152327923,0.121771815,0.600791535,-70.35889149,1.228680087,1.250929227,10.22753665,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,26,0,0.045307832,1,0,0,0,0,1,0.045307832,0.80259492,0.322913181,0.19584802,0.795080708,60.01626793,0.883873954,1.648794714,14.21737857,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,27,0,0.016149326,1,0,0,0,0,1,0.016149326,0.4202112,0.191780818,0.109949982,0.819338097,-82.24619958,1.149288415,1.744255106,10.93404444,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,28,0,0.029607098,1,0,0,0,0,1,0.029607098,0.61640154,0.229700474,0.172431313,0.660667159,-84.63124586,0.979215504,1.33212738,12.83310014,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,29,0,0.008523256,1,0,0,0,0,1,0.008523256,0.28184226,0.113283344,0.102139049,0.432519475,31.71747441,1.348351589,1.109109056,9.319802579,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,30,0,0.003140147,1,0,0,0,0,1,0.003140147,0.1529196,0.081056317,0.05843688,0.692995696,-79.09929526,1.687460085,1.387074671,7.446914286,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,31,0,0.028709914,1,0,0,0,0,1,0.028709914,0.64740906,0.274223359,0.146953358,0.844288269,70.70051773,0.860764216,1.866057115,14.59908577,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,32,0,0.042616278,1,0,0,0,0,1,0.042616278,0.80767812,0.346513585,0.163252065,0.882065143,85.8788684,0.820934949,2.122567848,15.30738901,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,33,0,0.037681762,1,0,0,0,0,1,0.037681762,0.68682504,0.265047156,0.188105958,0.704496449,-34.12971526,1.003803768,1.40903116,12.51875219,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,34,0,0.142203791,1,0,0,0,0,1,0.142203791,2.07324666,0.660388264,0.37380321,0.824380857,-54.1882153,0.415737394,1.766673603,30.22670274,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,35,0,0.425265595,1,0,0,0,0,1,0.425265595,3.90281742,1.284423868,0.605742306,0.881809252,-47.63416657,0.350843668,2.120413011,35.81757844,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,36,0,0.021532435,1,0,0,0,0,1,0.021532435,0.5042958,0.205804693,0.145884353,0.705360736,-34.5554333,1.063977173,1.410738633,11.81075208,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,37,0,0.074466338,1,0,0,0,0,1,0.074466338,1.15329336,0.443820427,0.229494761,0.8559315,-56.24665007,0.703542407,1.933902216,17.8615681,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,38,0,0.050690941,1,0,0,0,0,1,0.050690941,0.90051006,0.391220241,0.177268565,0.891451026,88.03903,0.785530553,2.20693523,15.99730344,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,39,0,0.13457772,1,0,0,0,0,1,0.13457772,1.5696498,0.613489127,0.30330318,0.869239932,51.28413593,0.686400344,2.022692698,18.30764033,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,40,0,0.055176865,1,0,0,0,0,1,0.055176865,1.00876104,0.412609864,0.202156437,0.871752942,66.07784085,0.681381418,2.041042423,18.44249093,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,41,0,0.032747245,1,0,0,0,0,1,0.032747245,0.65283114,0.26492762,0.172571955,0.758740646,4.427533416,0.965568105,1.535171926,13.01448396,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,42,0,0.043513463,1,0,0,0,0,1,0.043513463,0.90087012,0.319833857,0.196774867,0.788339169,-75.24839371,0.673766083,1.625379609,18.65093975,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,43,0,0.052933903,1,0,0,0,0,1,0.052933903,0.97637682,0.363067076,0.215892996,0.803994549,6.232710459,0.697764487,1.681699191,18.00947289,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,44,0,0.038578946,1,0,0,0,0,1,0.038578946,0.71624406,0.297488267,0.172133381,0.815595546,63.60534009,0.945013821,1.728242744,13.2975522,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,45,0,0.12336291,1,0,0,0,0,1,0.12336291,1.52428224,0.556526466,0.319777863,0.818437215,-26.12276169,0.667211757,1.740353322,18.83415645,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,46,0,0.582272935,1,0,0,0,0,1,0.582272935,4.48261992,1.441899712,0.596878814,0.910298223,-80.06345749,0.364143561,2.41573277,34.50938578,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,47,0,0.014803549,1,0,0,0,0,1,0.014803549,0.41040486,0.170787632,0.119314232,0.715501038,-7.521095092,1.104461866,1.431410388,11.37782209,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,48,0,0.008074663,1,0,0,0,0,1,0.008074663,0.25994214,0.127948636,0.083535047,0.757461754,45,1.501692116,1.531676123,8.3681405,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,49,0,0.01300918,1,0,0,0,0,1,0.01300918,0.40095858,0.163379557,0.113615244,0.718616363,-22.85118246,1.016859033,1.438007362,12.35802624,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,50,0,0.026018359,1,0,0,0,0,1,0.026018359,0.54318228,0.217124821,0.156472571,0.693291542,-67.87767702,1.108150079,1.387622248,11.33995372,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,51,0,0.00942044,1,0,0,0,0,1,0.00942044,0.301815,0.122282787,0.105104564,0.511101252,-45,1.29956926,1.163439367,9.669642857,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,52,0,0.038130354,1,0,0,0,0,1,0.038130354,0.83326356,0.356281236,0.148383401,0.90914566,-70.24238786,0.690106188,2.401085519,18.20932899,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,53,0,0.083886779,1,0,0,0,0,1,0.083886779,1.21441884,0.420052035,0.278386336,0.748847368,-23.46474822,0.714770121,1.508881657,17.58099596,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,54,0,0.039924724,1,0,0,0,0,1,0.039924724,0.77580222,0.308666143,0.175631351,0.822336814,42.21959342,0.833584722,1.757466084,15.07509709,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,55,0,0.065943083,1,0,0,0,0,1,0.065943083,0.99615894,0.32131193,0.289918091,0.431119529,-43.3895099,0.83506799,1.108285199,15.04832033,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,56,0,0.064597306,1,0,0,0,0,1,0.064597306,1.16816172,0.419669299,0.265133522,0.775157744,-10.27088316,0.594864876,1.582860193,21.12474803,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,57,0,0.00942044,1,0,0,0,0,1,0.00942044,0.28779384,0.118056401,0.107735892,0.408898556,-83.95262146,1.42928252,1.095794529,8.792083048,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,58,0,0.034990207,1,0,0,0,0,1,0.034990207,0.72833784,0.303827914,0.155369767,0.859358129,56.98285527,0.828878034,1.95551503,15.16069928,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,59,0,0.053382496,1,0,0,0,0,1,0.053382496,0.95604402,0.384419171,0.205835232,0.844570249,-15.10067359,0.733927158,1.867606277,17.12209513,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,60,0,0.085232556,1,0,0,0,0,1,0.085232556,1.17885762,0.461814239,0.262001483,0.823489928,-77.66914735,0.770712968,1.762639791,16.30486464,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,61,0,0.047550794,1,0,0,0,0,1,0.047550794,0.86268258,0.318210605,0.207285333,0.758726553,-83.67872916,0.802907628,1.53513324,15.65107888,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
UCreim.sc-PolCor094_CNN_2,62,0,0.0354388,1,0,0,0,0,1,0.0354388,0.6840081,0.271044866,0.176025428,0.760418981,-73.58476205,0.951845317,1.539805175,13.20211424,630.4522904,3.125873804,317.9968239,0.504394748,1,8.565927859
UCreim.sc-PolCor094_CNN_2,63,0,0.098241736,1,0,0,0,0,1,0.098241736,1.46804934,0.554062445,0.255889594,0.886961943,-56.93810826,0.572828459,2.165240232,21.93740625,630.4522904,3.125873804,317.9968239,0.504394748,0,8.565927859
