spp_code,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Abe_mex,Abelia mexicana,Abelia mexicana,Villarreal,Abelia,Caprifoliaceae,Dipsacales,asterids,20210726; 20210922,"Mickey,Somona,James; Ilaine",931304,359,Mexico/Central America,shrub,0.0968
Aex_pun,Aextoxicon punctatum,Aextoxicon punctatum,Ruiz & Pav.,Aextoxicon,Aextoxicaceae,Berberidopsidales,rosids,20210802; 20210920,"Mickey, Somona, Ethan; Ilaine",730753,601,South-America,tree,0.2984
Ale_cor,Alectryon coriaceus,Alectryon coriaceus,(Benth.) Radlk.,Alectryon,Sapindaceae,Sapindales,rosids,20210504; 20210907,Mickey Adrian,20030360,513,Australasia,tree,0.0418
Als_lig,Alstroemeria ligtu,Alstroemeria ligtu,L.,Alstroemeria,Alstroemeriaceae,Liliales,monocots,20210426; 20210825,"Mickey, Adrian, Noah; Ilaine, Mickey",830808,609,South-America,herb,0.0418
Ane_cal,Anemopsis californica,Anemopsis californica,(Nutt.) Hook. & Arn.,Anemopsis,Saururaceae,Piperales,basal angiosperms,20210602; 20210922,"MIckey, Adrian, Ilaine, Sophia, Frances; Mickey",620082,3A,California,aquatic,0.1344
Arg_spi,Argania spinosa,Argania spinosa,(L.) Skeels,Argania,Sapotaceae,Ericales,asterids,20210519,"Ilaine, Mickey, Gideon",20030221,706,Mediterranean,tree,0.0808
Ari_bae,Aristolochia baetica,Aristolochia baetica,L.,Aristolochia,Aristolochiaceae,Piperales,basal angiosperms,20210519,"Ilaine, Mickey, Gideon",20120405,704,Mediterranean,climbing,0.0483
Asi_tri,Asimina triloba,Asimina triloba,(L.) Dunal,Asimina,Annonaceae,Magnoliales,basal angiosperms,20210707,"Mickey,Adrian,Sonoma,Nguyen, Lisa, James, Jason",822026,305,Eastern North America,tree,0.162
Asp_obl,Asplenium oblongifolium,Asplenium oblongifolium,Colenso,Asplenium,Aspleniaceae,Polypodiales,ferns,20210421; 20210927,"Mickey, Adrian,Jason; Ilaine, James",720613,508,Australasia,herb,0.1232
Ast_ban,Astelia banksii,Astelia banksii,A.Cunn.,Astelia,Asteliaceae,Asparagales,monocots,20210504,Mickey Adrian,920973,511B,Australasia,herb,0.1172
Auc_jap,Aucuba japonica,Aucuba japonica,Thunb.,Aucuba,Garryaceae,Garryales,asterids,20210315; 20210817,"Mickey, Ilaine, Adrian, Eric; Sonoma, Adrian",760208,243,Asia,shrub,0.0552
Bar_pur,Barbacenia purpurea,Barbacenia purpurea,Hook.,Barbacenia,Velloziaceae,Pandanales,monocots,20210811,"James, Ilaine, Corina",NA,Greenhouse 2,Tropical house,shrub,0.1224
Beg_for,Begonia formosa,Begonia formosa,(Hayata) Masam.,Begonia,Begoniaceae,Cucurbitales,rosids,20210315,"Mickey, Ilaine, Adrian, Eric",20050211,220C,Asia,herb,0.0371
