spp_code,rmin_binned,VD.median,MST.median,ER.median,CR.median,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Abe_mex,0.3,5.584796468,0.740251642,0.663057126,0.65067166,Abelia mexicana,Abelia mexicana,Villarreal,Abelia,Caprifoliaceae,Dipsacales,asterids,20210726; 20210922,"Mickey,Somona,James; Ilaine",931304,359,Mexico/Central America,shrub,0.0968
Abe_mex,0.6,3.332213477,0.825799565,0.7461681609999999,0.619513169,Abelia mexicana,Abelia mexicana,Villarreal,Abelia,Caprifoliaceae,Dipsacales,asterids,20210726; 20210922,"Mickey,Somona,James; Ilaine",931304,359,Mexico/Central America,shrub,0.0968
Abe_mex,0.9,0.306659766,0.993086487,0.06639750000000011,0.434623801,Abelia mexicana,Abelia mexicana,Villarreal,Abelia,Caprifoliaceae,Dipsacales,asterids,20210726; 20210922,"Mickey,Somona,James; Ilaine",931304,359,Mexico/Central America,shrub,0.0968
Aex_pun,0.3,4.4392913235,0.6504780505000001,0.7319682505,0.6805972174999999,Aextoxicon punctatum,Aextoxicon punctatum,Ruiz & Pav.,Aextoxicon,Aextoxicaceae,Berberidopsidales,rosids,20210802; 20210920,"Mickey, Somona, Ethan; Ilaine",730753,601,South-America,tree,0.2984
Aex_pun,0.6,0.17455499,0.987610655,1.8837503999999998,0.490074105,Aextoxicon punctatum,Aextoxicon punctatum,Ruiz & Pav.,Aextoxicon,Aextoxicaceae,Berberidopsidales,rosids,20210802; 20210920,"Mickey, Somona, Ethan; Ilaine",730753,601,South-America,tree,0.2984
Aex_pun,0.9,0.08186642599999999,0.9957963435,1.292654806,0.6559412185,Aextoxicon punctatum,Aextoxicon punctatum,Ruiz & Pav.,Aextoxicon,Aextoxicaceae,Berberidopsidales,rosids,20210802; 20210920,"Mickey, Somona, Ethan; Ilaine",730753,601,South-America,tree,0.2984
Ale_cor,0.3,5.721777032,0.705505577,0.6641618330000001,0.659856339,Alectryon coriaceus,Alectryon coriaceus,(Benth.) Radlk.,Alectryon,Sapindaceae,Sapindales,rosids,20210504; 20210907,Mickey Adrian,20030360,513,Australasia,tree,0.0418
Ale_cor,0.6,0.39588664949999997,0.9836787415,3.0152352645000002,0.32516606,Alectryon coriaceus,Alectryon coriaceus,(Benth.) Radlk.,Alectryon,Sapindaceae,Sapindales,rosids,20210504; 20210907,Mickey Adrian,20030360,513,Australasia,tree,0.0418
Ale_cor,0.9,0.100950953,0.997716772,3.014682766,0.35446229,Alectryon coriaceus,Alectryon coriaceus,(Benth.) Radlk.,Alectryon,Sapindaceae,Sapindales,rosids,20210504; 20210907,Mickey Adrian,20030360,513,Australasia,tree,0.0418
Als_lig,0.3,2.598856566,0.542979745,28.250072375,0.0314851815,Alstroemeria ligtu,Alstroemeria ligtu,L.,Alstroemeria,Alstroemeriaceae,Liliales,monocots,20210426; 20210825,"Mickey, Adrian, Noah; Ilaine, Mickey",830808,609,South-America,herb,0.0418
Als_lig,0.6,2.5711461,0.540283249,24.51496875,0.050428094,Alstroemeria ligtu,Alstroemeria ligtu,L.,Alstroemeria,Alstroemeriaceae,Liliales,monocots,20210426; 20210825,"Mickey, Adrian, Noah; Ilaine, Mickey",830808,609,South-America,herb,0.0418
Als_lig,0.9,0.9683070375,0.903929464,10.05885649,0.116025779,Alstroemeria ligtu,Alstroemeria ligtu,L.,Alstroemeria,Alstroemeriaceae,Liliales,monocots,20210426; 20210825,"Mickey, Adrian, Noah; Ilaine, Mickey",830808,609,South-America,herb,0.0418
Ane_cal,0.3,4.505883753,0.759563437,0.7305130360000001,0.571167953,Anemopsis californica,Anemopsis californica,(Nutt.) Hook. & Arn.,Anemopsis,Saururaceae,Piperales,basal angiosperms,20210602; 20210922,"MIckey, Adrian, Ilaine, Sophia, Frances; Mickey",620082,3A,California,aquatic,0.1344
Ane_cal,0.6,0.311225764,0.941906253,1.3990536210000002,0.415011342,Anemopsis californica,Anemopsis californica,(Nutt.) Hook. & Arn.,Anemopsis,Saururaceae,Piperales,basal angiosperms,20210602; 20210922,"MIckey, Adrian, Ilaine, Sophia, Frances; Mickey",620082,3A,California,aquatic,0.1344
Ane_cal,0.9,0.050234538,0.884711024,0.3040427539999999,0.334134057,Anemopsis californica,Anemopsis californica,(Nutt.) Hook. & Arn.,Anemopsis,Saururaceae,Piperales,basal angiosperms,20210602; 20210922,"MIckey, Adrian, Ilaine, Sophia, Frances; Mickey",620082,3A,California,aquatic,0.1344
Arg_spi,0.3,5.385542934,0.678858521,1.4953615550000001,0.498689286,Argania spinosa,Argania spinosa,(L.) Skeels,Argania,Sapotaceae,Ericales,asterids,20210519,"Ilaine, Mickey, Gideon",20030221,706,Mediterranean,tree,0.0808
Arg_spi,0.9,0.1388292425,0.9277673475,4.944946903,0.296432598,Argania spinosa,Argania spinosa,(L.) Skeels,Argania,Sapotaceae,Ericales,asterids,20210519,"Ilaine, Mickey, Gideon",20030221,706,Mediterranean,tree,0.0808
Ari_bae,0.3,5.5278824695,0.741267172,0.6075612644999999,0.667195148,Aristolochia baetica,Aristolochia baetica,L.,Aristolochia,Aristolochiaceae,Piperales,basal angiosperms,20210519,"Ilaine, Mickey, Gideon",20120405,704,Mediterranean,climbing,0.0483
Ari_bae,0.6,0.7236437325,0.975745082,1.643883279,0.366508666,Aristolochia baetica,Aristolochia baetica,L.,Aristolochia,Aristolochiaceae,Piperales,basal angiosperms,20210519,"Ilaine, Mickey, Gideon",20120405,704,Mediterranean,climbing,0.0483
Ari_bae,0.9,0.10867906999999999,0.9916443749999999,0.14652902699999992,0.355273963,Aristolochia baetica,Aristolochia baetica,L.,Aristolochia,Aristolochiaceae,Piperales,basal angiosperms,20210519,"Ilaine, Mickey, Gideon",20120405,704,Mediterranean,climbing,0.0483
Asi_tri,0.3,3.060206324,0.734675215,0.604479233,0.676512534,Asimina triloba,Asimina triloba,(L.) Dunal,Asimina,Annonaceae,Magnoliales,basal angiosperms,20210707,"Mickey,Adrian,Sonoma,Nguyen, Lisa, James, Jason",822026,305,Eastern North America,tree,0.162
Asi_tri,0.6,0.235110555,0.97917053,1.3998627199999998,0.533269679,Asimina triloba,Asimina triloba,(L.) Dunal,Asimina,Annonaceae,Magnoliales,basal angiosperms,20210707,"Mickey,Adrian,Sonoma,Nguyen, Lisa, James, Jason",822026,305,Eastern North America,tree,0.162
