spp_code,leaf_area,SLA,LMA,LDMC,VTotV,PS_M,PS_L,PSS_M,PSS_L,WP_M,WP_L,SWP_M,SWP_L,SS_M,SS_L,WS_M,WS_L,SWS_M,SWS_L,e_W,e_L,E_W,E_L,Kleaf_max,Dkleaf_M,Dkleaf_L,P50,P88,ISI,gsw_max,A_max,Phe
Abe_mex,4.33,23.62,42.34,225.59,4.18,13.02,7.68,50.08,43.61,36.44,12.38,140.17,70.35,2.08,0.29,0.18,1.88,279.24,9796.62,3.23,NA,0.015,NA,5,-98.56,-93.56,0.35,1.08,0.45,175.68,12.59,4.12
Aex_pun,10.23,4.95,202.22,515.82,48.97,10.42,6.95,14.32,17.14,27.6,11.97,37.49,29.6,0.94,0.06,0.38,0.45,399.92,1195.09,6.3,100.15,0.322,0.374,2.49,-80.3,-65.09,0.50,1.53,0.38,29.81,2.22,6.21
Ale_cor,33.42,6.75,148.11,468.49,237.94,117.4,20.53,309.03,79.06,316,28.34,837.99,108.49,6.34,0.21,1.25,2.17,1793.69,6891.41,6.03,13.57,0.115,0.038,0.65,-80.23,-83.97,0.60,2.46,0.32,33.65,5.25,6.18
Als_lig,11.35,21.3,46.94,118.23,2.88,5.05,4.22,53.34,44.52,8.79,7.96,93.9,83.56,0.15,0.01,0.03,0.14,67.77,340.52,64.26,NA,0.192,NA,33.78,-98.96,-98.5,NA,NA,0.19,NA,NA,1.8
Ane_cal,52.5,10.7,93.44,161.03,33.09,50.53,10.83,43.94,25.28,178.8,39.59,157.41,81.95,0.66,0.24,1.78,3.26,1410.28,9720.78,0.21,10.65,0.068,0.026,15.64,-58.92,-56.47,0.21,1.28,0.29,634.27,26.75,6.41
Arg_spi,1.07,9.06,110.34,367.49,3.8,8.31,5.37,45.25,38.64,24.3,8.83,132.61,62.69,3.93,0.15,0.08,1.05,226.86,3250.95,5.34,NA,0.017,NA,27.43,-54.72,-13.44,NA,NA,0.66,NA,NA,4.86
Ari_bae,8.61,13.48,74.16,328.83,4.03,19.59,14.45,118.48,102.71,42.27,25.96,255.49,182.43,5.04,0.2,0.3,1.8,736.49,7176.13,3.36,NA,0.014,NA,1.06,68.81,-52.18,NA,NA,0.38,NA,NA,3.14
Asi_tri,97.54,26.22,38.14,295.62,445.59,27.12,12.74,85.59,69.34,55.66,15.43,173.39,82.34,1.51,0.39,0.93,0.92,704.1,2889.36,7.49,NA,0.288,NA,1.71,-90.18,-95.84,NA,NA,0.3,NA,NA,1
Asp_obl,29.46,8.98,111.38,283.96,13.44,37.15,18.24,84.26,43.95,77.25,39.86,172.89,96.02,3.59,0.28,0.6,2.83,753.83,6613.71,1.9,19.6,0.147,0.207,0.59,-91.01,-60.23,NA,NA,0.32,NA,NA,0.81
Ast_ban,105.31,3.74,267.6,331.52,10.76,168.21,114.28,74.18,93.47,661.64,247.48,291.58,201.42,9.76,1.21,5.36,7.05,7046.25,6966.23,1.16,1.07,13.066,3.344,0.8,-96.7,-99.03,0.41,1.05,0.16,29.07,3.68,0.41
