spp_code,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Kleaf_max,P50,P88,Phe,ISI
Abe_mex,42.34,140.17,70.35,279.24,9796.62,3.23,48.23793953325178,-98.56,-93.56,5,0.35,1.08,4.12,0.45
Aex_pun,202.22,37.49,29.6,399.92,1195.09,6.3,100.15,-80.3,-65.09,2.49,0.5,1.53,6.21,0.38
Ale_cor,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,0.65,0.6,2.46,6.18,0.32
Als_lig,46.94,93.9,83.56,67.77,340.52,64.26,93.82371036118474,-98.96,-98.5,33.78,0.49354318816324044,2.0253648714916763,1.8,0.19
Ane_cal,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,15.64,0.21,1.28,6.41,0.29
Arg_spi,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,27.43,1.0736758307598233,2.09494642816348,4.86,0.66
Ari_bae,74.16,255.49,182.43,736.49,7176.13,3.36,62.31244063616886,68.81,-52.18,1.06,0.8547605933150715,2.112680522240204,3.14,0.38
Asi_tri,38.14,173.39,82.34,704.1,2889.36,7.49,40.438112285960315,-90.18,-95.84,1.71,1.0217844738101538,1.917079056689096,1,0.3
Asp_obl,111.38,172.89,96.02,753.83,6613.71,1.9,19.6,-91.01,-60.23,0.59,0.6803148927379433,2.163674430870405,0.81,0.32
Ast_ban,267.6,291.58,201.42,7046.25,6966.23,1.16,1.07,-96.7,-99.03,0.8,0.41,1.05,0.41,0.16
Auc_jap,160,219.98190829322004,54.21,1011.14,5380.43,1.76,5.58,-88.96,-87.07,1.43,0.6315451391109005,2.060171848006771,1.44,0.4
Bar_pur,173.8,510.20316134475087,425.33,7774.52,7458.79,527.49,783.02,-85.98,-94.62,5.12,1.2935929586934556,2.4967458196231456,3.6,0.27
Beg_for,32.76,344.31,52.77,502.5,1980.69,0.33,73.09803786337639,-94.1,-95.28,4.73,0.597618567885185,1.9963431139834318,4.42,0.25
Bei_tar,149.37,198.65,153.18,2107.18,5479.78,2.67,9.32,-96.23,-97.61,3.56,0.7789634401871395,1.9877153169609518,5.31,0.31
Bux_har,177.74,409.81524147848063,336.58,2102.02,5637.53,6.95,57.069128314640565,18.1,-9.66,6.4,1.28,3.91,1.29,0.65
