"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
-1.2213	-0.2525	-0.2851	-0.3695	0.7365	-0.2522	1.166	-0.4847	-0.6985	0.2878	-0.9654	-1.0431	0.4351	0.7833
1.3827	-1.3364	-1.3804	-0.3567	-1.1354	0.0863	0.8961	0.111	0.3744	-0.1239	-0.4155	-0.3471	-3.621	0.283
1.096	1.5889	0.2598	0.5567	0.5114	-0.1184	-1.9917	-0.1181	-0.0287	-1.2082	0.0608	0.2626	1.0404	-0.1952
-1.017	-0.448	-0.1245	-1.8938	-2.3144	1.4447	0.942	-2.119	-1.8709	1.8879	-3.3488	-3.7998	-0.7827	-1.8103
0.0679	-0.3411	-0.258	0.4413	0.9259	-2.0373	-0.6631	0.4398	0.6384	1.3372	-1.4623	-0.734	1.0077	-0.5095
0.4168	-0.1126	-0.4488	-0.9347	-0.2245	-0.105	-0.9566	0.6137	1.0566	0.9013	-3.5429	-2.5744	0.6542	2.0075
-0.2487	0.4949	0.7692	-3.0024	0.4982	-0.3932	-3.5038	1.5291	0.6693	-0.8063	-9.1865	-7.246	0.0276	0.3127
-1.3677	0.1396	-0.1398	-3.5641	-0.3439	0.1092	-1.3364	-0.5115	-1.0685	-0.4239	-9.7039	-8.5768	-1.6276	-0.4222
0.51	0.2525	0.0616	-0.0295	0.333	-0.8361	-0.06	-0.4449	0.4219	1.7086	-3.1858	-2.6427	-1.912	-0.196
1.8493	0.7728	0.7576	0.8614	0.4546	-1.0054	-2.0962	-1.1285	-2.2212	-0.9345	-0.758	-0.8584	-2.9464	-2.3565
1.0451	0.4641	-0.6208	0.2538	0.2404	-0.7551	-0.987	-0.4129	-0.2852	-0.5679	-1.2237	-0.9388	-1.0971	0.4658
1.1785	0.2617	1.7079	1.5309	0.5422	2.7611	2.2969	-0.2418	-0.8862	0.4292	5.9835	4.7452	0.2206	-0.741
-1.6333	0.8039	-0.6542	-0.305	-0.6909	-1.8345	-1.2967	-1.767	-0.9972	0.3674	-2.6818	-2.7211	0.5198	-0.9738
0.9343	0.4041	0.5377	2.3934	0.1783	-0.6033	-0.5695	-1.0418	-1.5693	0.1691	4.8868	3.9978	0.7805	-0.2962
1.1472	-0.1044	1.4339	0.8648	0.2812	0.0752	-1.0453	1.3421	1.092	0.6016	0.9189	1.2379	-1.2569	1.9609
0.4769	-0.2597	0.3216	0.9214	0.533	0.9184	2.184	-0.5245	-0.8443	-0.0208	3.2957	2.4407	-1.3783	-1.1001
0.8347	0.552	-0.3823	0.6414	1.1677	-0.4352	0.1812	-0.9657	-1.1786	-0.0015	-0.3015	-0.3151	0.0551	0.1842
0.0994	-0.3004	0.4705	0.945	0.4114	-0.0865	0.5606	-0.1398	-0.4703	0.7835	1.8848	1.5711	0.1075	0.7736
-2.076	-0.4858	0.1242	-1.0233	0.2087	0.5679	1.6024	0.2943	-0.0659	-0.7696	0.0628	-0.2644	0.3532	-0.8506
-0.6187	-1.0314	-1.0961	-1.1408	-0.8897	-0.0471	-0.1033	0.1073	-0.2945	-0.3076	-1.6482	-1.4114	0.4564	1.3908
0.6163	0.9195	2.4209	0.4337	1.0827	3.9346	2.0459	0.2471	-1.224	-2.2087	4.5782	3.3157	-1.6599	-0.1171
0.7051	0.9002	-0.4806	1.4297	0.1894	0.385	0.3391	0.4241	1.4297	-1.144	4.5184	4.0675	1.179	0.9662
-0.6154	0.7268	0.555	0.3528	1.0098	-0.3215	0.8456	0.0049	0.8029	0.075	-0.5852	-0.5929	-1.9188	0.1836
-0.8004	0.3055	-1.0971	-0.4547	-0.0148	-0.9022	-0.0108	0.3592	1.3751	-1.3036	-1.1603	-0.9008	-1.0293	0.3464
-0.6524	0.3231	-0.4757	0.7587	1.1773	0.3348	0.4229	0.103	0.3532	0.0513	-0.8149	-0.5126	-0.3165	11.7832
-1.2216	0.3031	0.7296	-0.0365	0.26	-0.7744	0.2108	0.508	1.1488	-0.9865	-1.1358	-1.1553	-4.5293	0.3031
0.01	-0.0078	0.4808	-0.0056	0.3491	-0.7305	-0.7595	0.8265	0.1218	-1.6444	1.5419	1.444	0.2857	-5.351
0.2391	-0.3922	-0.0514	-0.16	-0.0575	-0.6789	-1.7814	2.0329	1.6271	-1.4822	0.52	1.1291	0.8923	0.5569
1.2541	1.6777	1.257	1.2018	1.6466	1.2672	0.6882	1.662	3.0558	-0.1383	2.7562	2.9479	0.6525	0.0669
1.3001	0.1268	0.524	0.9403	0.3029	-0.0721	-0.1301	-0.7219	-1.0008	1.3175	0.81	0.6707	0.1416	-1.2216
1.0141	0.0666	-0.6733	-6.1561	-0.6646	0.4849	-4.3108	0.9357	0.6267	1.6448	-18.5989	-15.0424	0.5679	1.6153
-0.9739	1.4884	0.2569	0.6225	0.5048	-0.808	-1.5153	-1.2619	-1.0748	0.5429	-0.3659	-0.4143	3.8554	0.7837
