"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.0752	0.0766	0.1202	0.0721	0.075	0.0756	0.099	0.0848	0.0768	0.0823	0.0807	0.0792	0.0796	0.0839
0.0739	0.0775	0.1161	0.0638	0.0678	0.0744	0.0689	0.0864	0.0737	0.0784	0.0873	0.0807	0.0881	0.0848
0.0684	0.086	0.0699	0.064	0.0688	0.1028	0.0709	0.0753	0.0692	0.0731	0.0836	0.0784	0.0795	0.0851
0.0726	0.0826	0.0836	0.0802	0.0807	0.0836	0.1656	0.0824	0.0895	0.0834	1.0478	0.9574	0.6698	0.0828
0.0812	0.0818	0.0705	0.1103	0.0786	0.0782	0.0717	0.0778	0.0737	0.0837	0.086	0.0841	0.0818	0.0846
0.0836	0.0914	0.0695	0.0778	0.081	0.0827	0.1357	0.3643	0.0824	0.0764	1.5587	1.5042	0.0862	0.0822
0.1438	0.0837	0.0729	0.072	0.0769	0.0763	0.0943	0.0874	0.0724	0.0777	0.7377	0.691	0.08	0.0832
0.0733	0.0841	0.0774	0.0811	0.0747	0.2085	0.1899	0.0811	0.0811	0.0831	0.7501	0.7035	0.083	0.0861
0.072	0.2155	0.0772	0.0747	0.0777	0.0743	0.0768	0.0766	0.078	0.0795	0.804	0.7516	0.0825	0.0882
0.0754	0.0786	0.0779	0.0738	0.0794	0.078	0.0825	0.0864	0.0776	0.0831	0.0874	0.0885	0.0875	0.3092
0.0804	0.3286	0.0748	0.0812	0.078	0.0757	0.0792	0.0852	0.076	0.4505	0.883	0.8254	0.0785	0.0784
0.0854	1.213	0.0866	0.0796	0.0897	0.0817	0.0883	0.0855	0.0872	0.091	1.9662	1.8542	0.0904	1.5396
0.0759	0.0905	0.075	0.0773	0.0771	0.0799	0.1264	0.0828	0.0746	0.2577	0.6769	0.6291	0.0844	0.0825
0.0758	0.2232	0.0765	0.075	0.0806	0.0671	0.0699	0.0778	0.0813	0.0864	0.6758	0.6588	0.078	0.0845
0.081	0.5223	0.071	0.0809	0.0812	0.0848	0.1545	0.0807	0.0773	0.0791	0.0881	0.083	0.661	0.088
0.0728	0.081	0.0773	0.08	0.1936	0.0784	0.0807	0.084	0.0823	0.0764	0.929	0.8705	0.0869	0.0825
0.0733	0.0751	0.0658	0.0684	0.0713	0.1119	0.0739	0.0825	0.0739	0.0758	0.0759	0.0762	0.0807	0.0816
0.075	0.0758	0.0714	0.0889	0.0757	0.0662	0.0568	0.0751	0.0687	0.0821	0.0792	0.0733	0.0889	0.0753
0.0744	0.0807	0.0725	0.0769	0.0736	0.0798	0.1083	0.0804	0.0768	0.2297	0.6464	0.5964	0.0829	0.0853
0.0756	0.0848	0.0764	0.0795	0.3866	0.4975	0.3587	0.0864	0.0798	0.0765	0.9324	0.8725	0.0854	0.0816
0.078	0.0871	0.0775	0.0845	0.0749	0.1366	0.084	0.0809	0.0817	0.0882	1.1987	1.1424	0.0936	0.0799
0.0747	0.9492	0.0749	0.0878	0.0777	0.5961	0.8559	0.0811	0.084	0.0796	1.4405	1.3775	0.0867	0.0839
0.1107	0.0879	0.0841	0.0779	0.0798	0.0818	0.1019	0.0809	0.0779	0.0811	0.873	0.8426	0.0895	0.0795
0.0774	0.2057	0.0976	0.0701	0.0774	0.088	0.1281	0.0758	0.0755	0.0835	1.0069	0.9579	0.0857	0.0874
0.075	0.2085	0.074	0.0679	0.0711	0.0705	0.0687	0.0806	0.0753	0.0739	0.0783	0.0797	0.0814	0.0822
0.0721	0.0809	0.0761	0.0768	0.0763	0.082	0.0834	0.0801	0.0788	0.085	1.3982	1.3383	0.4842	0.0917
0.077	0.0796	0.0736	0.0745	0.1512	0.0716	0.0666	0.0788	0.0821	0.0772	0.6607	0.6297	0.084	0.0793
0.0743	0.0784	0.0746	0.0797	0.1555	0.0771	0.0974	0.0833	0.0758	0.0887	0.7516	0.7137	0.0825	0.0836
0.0741	0.0781	0.0749	0.0771	0.0777	0.0742	0.0813	0.0789	0.0788	0.0841	0.9294	0.8661	0.0851	0.2664
0.0828	0.0827	0.0791	0.0762	0.0799	0.0806	0.0824	0.3254	0.0875	0.0829	1.3279	1.2371	0.0926	0.0873
0.0765	0.0828	0.0788	0.1298	0.0848	0.0861	0.1161	0.0792	0.0782	0.0836	0.8423	0.7724	0.0876	0.0852
0.0782	0.0815	0.0664	0.1041	0.0821	0.0877	0.1003	0.0768	0.0742	0.0796	0.0831	0.0778	0.0836	0.0808
0.0788	0.0837	0.0772	0.0792	0.0873	0.6572	0.5939	0.0853	0.6254	0.0865	2.0558	1.997	0.0893	0.0855
0.0785	0.0799	0.0736	0.0793	0.0744	0.0857	0.1239	0.2606	0.0825	0.0799	0.9778	0.9034	0.0812	0.0894
0.0713	0.0764	0.0618	0.0685	0.0657	0.1137	0.0815	0.0755	0.0684	0.0744	0.0792	0.0748	0.0834	0.0795
0.0711	0.0773	0.0697	0.0713	0.0748	0.0768	0.0985	0.0811	0.0755	0.076	0.6158	0.572	0.0818	0.0881
