...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_minor,VD_medium,VD_major,MST_minor,MST_medium,MST_major,ER_minor,ER_medium,ER_major,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
1,Abe_mex,Abelia mexicana,Caprifoliaceae,Dipsacales,asterids,5.584796468,3.332213477,0.306659766,0.740251642,0.825799565,0.993086487,0.663057126,0.746168161,0.0663975000000001,42.34,140.17,70.35,279.24,9796.62,3.23,NA,-98.56,-93.56,-96.06,4.12,5,0.35,1.08,0.45,6
2,Aex_pun,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,rosids,4.4392913235,0.17455499,0.081866426,0.6504780505,0.987610655,0.9957963435,0.7319682505,1.8837504,1.292654806,202.22,37.49,29.6,399.92,1195.09,6.3,100.15,-80.3,-65.09,-72.695,6.21,2.49,0.5,1.53,0.38,5
3,Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,5.721777032,0.3958866495,0.100950953,0.705505577,0.9836787415,0.997716772,0.664161833,3.0152352645,3.014682766,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,5
4,Als_lig,Alstroemeria ligtu,Alstroemeriaceae,Liliales,monocots,2.598856566,2.5711461,0.9683070375,0.542979745,0.540283249,0.903929464,28.250072375,24.51496875,10.05885649,46.94,93.9,83.56,67.77,340.52,64.26,NA,-98.96,-98.5,-98.73,1.8,33.78,NA,NA,0.19,3
5,Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,4.505883753,0.311225764,0.050234538,0.759563437,0.941906253,0.884711024,0.730513036,1.399053621,0.304042754,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,2
6,Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,5.385542934,0,0.1388292425,0.678858521,0,0.9277673475,1.495361555,0,4.944946903,110.34,132.61,62.69,226.86,3250.95,5.34,NA,-54.72,-13.44,-34.08,4.86,27.43,NA,NA,0.66,6
7,Ari_bae,Aristolochia baetica,Aristolochiaceae,Piperales,basal angiosperms,5.5278824695,0.7236437325,0.10867907,0.741267172,0.975745082,0.991644375,0.6075612645,1.643883279,0.146529027,74.16,255.49,182.43,736.49,7176.13,3.36,NA,68.81,-52.18,8.315,3.14,1.06,NA,NA,0.38,2
8,Asi_tri,Asimina triloba,Annonaceae,Magnoliales,basal angiosperms,3.060206324,0.235110555,0.115827731,0.734675215,0.97917053,0.994154438,0.604479233,1.39986272,1.496562373,38.14,173.39,82.34,704.1,2889.36,7.49,NA,-90.18,-95.84,-93.01,1,1.71,NA,NA,0.3,2
9,Asp_obl,Asplenium oblongifolium,Aspleniaceae,Polypodiales,ferns,0.7376466735,0.642755968,0.056617954,0.998117672,0.998863408,0.995886431,3.3473131185,3.347353877,3.3474512175,111.38,172.89,96.02,753.83,6613.71,1.9,19.6,-91.01,-60.23,-75.62,0.81,0.59,NA,NA,0.32,1
10,Ast_ban,Astelia banksii,Asteliaceae,Asparagales,monocots,2.172157662,0,0,0.508870251,1,0,25.04858341,85.493760625,5.244489559,267.6,291.58,201.42,7046.25,6966.23,1.16,1.07,-96.7,-99.03,-97.865,0.41,0.8,0.41,1.05,0.16,3
11,Bar_pur,Barbacenia purpurea,Velloziaceae,Pandanales,monocots,0,5.393390621,0.492245431,0,0.622281749,1,0,37.97672124,15.26337407,173.8,NA,425.33,7774.52,7458.79,527.49,783.02,-85.98,-94.62,-90.3,3.6,5.12,NA,NA,0.27,3
12,Beg_for,Begonia formosa,Begoniaceae,Cucurbitales,rosids,2.396299117,0.078182446,0.022273222,0.716028442,0.969768734,0.975948942,0.778416196,0.275855761,0.276867089,32.76,344.31,52.77,502.5,1980.69,0.33,NA,-94.1,-95.28,-94.69,4.42,4.73,NA,NA,0.25,5
13,Bei_tar,Beilschmiedia tarairi,Lauraceae,Laurales,basal angiosperms,5.370629029,1.204705263,0.141976082,0.676615125,0.94446354,0.990407635,0.5705246095,0.739830578,1.657290337,149.37,198.65,153.18,2107.18,5479.78,2.67,9.32,-96.23,-97.61,-96.92,5.31,3.56,NA,NA,0.31,2
14,Bux_har,Buxus harlandii,Buxaceae,Buxales,basal eudicots,6.785980509,4.937971326,1.551110824,0.539469073,0.694689928,0.967950126,2.774865878,4.138205871,2.1397904,177.74,NA,336.58,2102.02,5637.53,6.95,NA,18.1,-9.66,4.22,1.29,6.4,1.28,3.91,0.65,4
15,Cal_nut,Deyeuxia nutkaensis,Poaceae,Poales,monocots,7.67627e-4,0,0,1,1,0,59.36545006,15.689440165,1.627466191,112.58,134.45,114.29,2395.21,6975.67,213.83,683.15,-87.55,-95.09,-91.32,1.17,3.23,NA,NA,0.24,3
16,Cal_pan,Ackama paniculosa,Cunoniaceae,Oxalidales,rosids,2.379536398,0.9226235,0.210584919,0.697954299,0.898105494,0.998193785,0.63842025,0.902974673,2.448723394,159.9,404.43,80.23,1444.21,9783.98,1.63,60.36,-91.62,-97.42,-94.52,3.5,2.73,0.53,1.62,0.37,5
17,Cam_sin,Camellia sinensis,Theaceae,Ericales,asterids,4.362301099,0.997310536,0.2437336655,0.755072543,0.901362895,0.980555761,0.717778052,0.941244434,1.2381867635,88.83,94.42,141.34,2397.97,7295.4,6.17,48.02,-86.96,-88.98,-87.97,3.27,1.91,2.62,4.73,0.44,6
