predictor,interaction,Response,approach
clade2,0.078531178,Dkleaf_mean,unscaled
VD_small,0.293395143,Dkleaf_mean,unscaled
VD_medium,0.083747302,Dkleaf_mean,unscaled
VD_large,0.100788194,Dkleaf_mean,unscaled
ER_small,0.041716911,Dkleaf_mean,unscaled
ER_medium,0.172350949,Dkleaf_mean,unscaled
ER_large,0.127929658,Dkleaf_mean,unscaled
MST_small,0.111665388,Dkleaf_mean,unscaled
MST_medium,0.232259362,Dkleaf_mean,unscaled
MST_large,0.203219851,Dkleaf_mean,unscaled
clade2,0.017631052,e_L,unscaled
VD_small,0.063266247,e_L,unscaled
VD_medium,0.094070255,e_L,unscaled
VD_large,0.028301899,e_L,unscaled
ER_small,0.126095323,e_L,unscaled
ER_medium,0.065234965,e_L,unscaled
ER_large,0.028820211,e_L,unscaled
MST_small,0.172681546,e_L,unscaled
MST_medium,0.070088942,e_L,unscaled
MST_large,0.065047874,e_L,unscaled
clade2,0.044604167,e_W,unscaled
VD_small,0.057015292,e_W,unscaled
VD_medium,0.13094668,e_W,unscaled
VD_large,0.084727318,e_W,unscaled
ER_small,0.080702967,e_W,unscaled
ER_medium,0.053508146,e_W,unscaled
ER_large,0.029204423,e_W,unscaled
MST_small,0.111817749,e_W,unscaled
MST_medium,0.051441632,e_W,unscaled
MST_large,0.044467197,e_W,unscaled
clade2,0.081714293,ISI,unscaled
VD_small,0.071111511,ISI,unscaled
VD_medium,0.14127147,ISI,unscaled
VD_large,0.097405938,ISI,unscaled
ER_small,0.081057013,ISI,unscaled
ER_medium,0.088950651,ISI,unscaled
ER_large,0.092036383,ISI,unscaled
MST_small,0.109017516,ISI,unscaled
MST_medium,0.101000657,ISI,unscaled
MST_large,0.090321951,ISI,unscaled
clade2,0,Kleaf_max,unscaled
VD_small,0.08572562,Kleaf_max,unscaled
VD_medium,0.100798217,Kleaf_max,unscaled
VD_large,0.042475334,Kleaf_max,unscaled
ER_small,0.060518203,Kleaf_max,unscaled
ER_medium,0.192407065,Kleaf_max,unscaled
ER_large,0.037722311,Kleaf_max,unscaled
MST_small,0.039821253,Kleaf_max,unscaled
MST_medium,0.051228884,Kleaf_max,unscaled
MST_large,0.100534551,Kleaf_max,unscaled
clade2,0.193025883,LMA,unscaled
VD_small,0.253296917,LMA,unscaled
VD_medium,0.119161358,LMA,unscaled
VD_large,0.157722029,LMA,unscaled
ER_small,0.086053314,LMA,unscaled
ER_medium,0.114982454,LMA,unscaled
ER_large,0.144966445,LMA,unscaled
MST_small,0.119727159,LMA,unscaled
MST_medium,0.173418356,LMA,unscaled
MST_large,0.172694379,LMA,unscaled
clade2,0.161351336,P50,unscaled
VD_small,0.213176096,P50,unscaled
VD_medium,0.111559269,P50,unscaled
VD_large,0.179228315,P50,unscaled
ER_small,0.137318313,P50,unscaled
ER_medium,0.20092977,P50,unscaled
ER_large,0.177277092,P50,unscaled
MST_small,0.096928273,P50,unscaled
MST_medium,0.212784253,P50,unscaled
MST_large,0.069436047,P50,unscaled
clade2,0.095425886,P88,unscaled
VD_small,0.189210734,P88,unscaled
VD_medium,0.096483766,P88,unscaled
VD_large,0.160030049,P88,unscaled
ER_small,0.018719093,P88,unscaled
ER_medium,0.069245964,P88,unscaled
ER_large,0.143270346,P88,unscaled
MST_small,0.071964542,P88,unscaled
MST_medium,0.068713809,P88,unscaled
MST_large,0.05126442,P88,unscaled
clade2,0.110363904,Phe,unscaled
VD_small,0.080072732,Phe,unscaled
VD_medium,0.1335851,Phe,unscaled
VD_large,0.086834925,Phe,unscaled
ER_small,0.092471094,Phe,unscaled
ER_medium,0.065589229,Phe,unscaled
ER_large,0.135324988,Phe,unscaled
MST_small,0.078950186,Phe,unscaled
MST_medium,0.08534634,Phe,unscaled
