spp_code,species,canonical_author,genus,family,order,clade,accession_number,ucbg_bed,ucbg_area,growth_form,venation_type,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_M_imputed,SWP_L,SWP_L_imputed,SWS_M,SWS_M_imputed,SWS_L,SWS_L_imputed,e_W,e_W_imputed,e_L,e_L_imputed,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Dkleaf_mean_imputed,Phe,Phe_imputed,Kleaf_max,P50,P50_imputed,P88,P88_imputed,ISI
Abe_mex,Abelia mexicana,Villarreal,Abelia,Caprifoliaceae,Dipsacales,asterids,931304,359,Mexico/Central America,shrub,palmate,5.584796468,3.332213477,0.306659766,0.740251642,0.825799565,0.993086487,0.663057126,0.746168161,0.0663975,42.34,140.17,140.17,70.35,70.35,279.24,279.24,9796.62,9796.62,3.23,3.23,NA,48.23793953,-98.56,-93.56,-96.06,-96.06,4.12,4.12,5,0.35,0.35,1.08,1.08,0.45
Aex_pun,Aextoxicon punctatum,Ruiz & Pav.,Aextoxicon,Aextoxicaceae,Berberidopsidales,rosids,730753,601,South-America,tree,pinnate,4.439291324,0.17455499,0.081866426,0.650478051,0.987610655,0.995796344,0.731968251,1.8837504,1.292654806,202.22,37.49,37.49,29.6,29.6,399.92,399.92,1195.09,1195.09,6.3,6.3,100.15,100.15,-80.3,-65.09,-72.695,-72.695,6.21,6.21,2.49,0.5,0.5,1.53,1.53,0.38
Ale_cor,Alectryon coriaceus,(Benth.) Radlk.,Alectryon,Sapindaceae,Sapindales,rosids,20030360,513,Australasia,tree,pinnate,5.721777032,0.39588665,0.100950953,0.705505577,0.983678742,0.997716772,0.664161833,3.015235265,3.014682766,148.11,837.99,837.99,108.49,108.49,1793.69,1793.69,6891.41,6891.41,6.03,6.03,13.57,13.57,-80.23,-83.97,-82.1,-82.1,6.18,6.18,0.65,0.6,0.6,2.46,2.46,0.32
Als_lig,Alstroemeria ligtu,L.,Alstroemeria,Alstroemeriaceae,Liliales,monocots,830808,609,South-America,herb,parallel,2.598856566,2.5711461,0.968307038,0.542979745,0.540283249,0.903929464,28.25007238,24.51496875,10.05885649,46.94,93.9,93.9,83.56,83.56,67.77,67.77,340.52,340.52,64.26,64.26,NA,93.82371036,-98.96,-98.5,-98.73,-98.73,1.8,1.8,33.78,NA,0.493543188,NA,2.025364871,0.19
Ane_cal,Anemopsis californica,(Nutt.) Hook. & Arn.,Anemopsis,Saururaceae,Piperales,basal angiosperms,620082,3A,California,aquatic,pinnate,4.505883753,0.311225764,0.050234538,0.759563437,0.941906253,0.884711024,0.730513036,1.399053621,0.304042754,93.44,157.41,157.41,81.95,81.95,1410.28,1410.28,9720.78,9720.78,0.21,0.21,10.65,10.65,-58.92,-56.47,-57.695,-57.695,6.41,6.41,15.64,0.21,0.21,1.28,1.28,0.29
Arg_spi,Argania spinosa,(L.) Skeels,Argania,Sapotaceae,Ericales,asterids,20030221,706,Mediterranean,tree,pinnate,5.385542934,0,0.138829243,0.678858521,0,0.927767348,1.495361555,0,4.944946903,110.34,132.61,132.61,62.69,62.69,226.86,226.86,3250.95,3250.95,5.34,5.34,NA,66.33640202,-54.72,-13.44,-34.08,-34.08,4.86,4.86,27.43,NA,1.073675831,NA,2.094946428,0.66
Ari_bae,Aristolochia baetica,L.,Aristolochia,Aristolochiaceae,Piperales,basal angiosperms,20120405,704,Mediterranean,climbing,palmate,5.52788247,0.723643733,0.10867907,0.741267172,0.975745082,0.991644375,0.607561265,1.643883279,0.146529027,74.16,255.49,255.49,182.43,182.43,736.49,736.49,7176.13,7176.13,3.36,3.36,NA,62.31244064,68.81,-52.18,8.315,8.315,3.14,3.14,1.06,NA,0.854760593,NA,2.112680522,0.38
Asi_tri,Asimina triloba,(L.) Dunal,Asimina,Annonaceae,Magnoliales,basal angiosperms,822026,305,Eastern North America,tree,pinnate,3.060206324,0.235110555,0.115827731,0.734675215,0.97917053,0.994154438,0.604479233,1.39986272,1.496562373,38.14,173.39,173.39,82.34,82.34,704.1,704.1,2889.36,2889.36,7.49,7.49,NA,40.43811229,-90.18,-95.84,-93.01,-93.01,1,1,1.71,NA,1.021784474,NA,1.917079057,0.3
Asp_obl,Asplenium oblongifolium,Colenso,Asplenium,Aspleniaceae,Polypodiales,ferns,720613,508,Australasia,herb,pinnate,0.737646674,0.642755968,0.056617954,0.998117672,0.998863408,0.995886431,3.347313119,3.347353877,3.347451218,111.38,172.89,172.89,96.02,96.02,753.83,753.83,6613.71,6613.71,1.9,1.9,19.6,19.6,-91.01,-60.23,-75.62,-75.62,0.81,0.81,0.59,NA,0.680314893,NA,2.163674431,0.32
Ast_ban,Astelia banksii,A.Cunn.,Astelia,Asteliaceae,Asparagales,monocots,920973,511B,Australasia,herb,parallel,2.172157662,0,0,0.508870251,1,0,25.04858341,85.49376063,5.244489559,267.6,291.58,291.58,201.42,201.42,7046.25,7046.25,6966.23,6966.23,1.16,1.16,1.07,1.07,-96.7,-99.03,-97.865,-97.865,0.41,0.41,0.8,0.41,0.41,1.05,1.05,0.16
