Traits,Median,Mean,Standard deviation,Minimum,Maximum
VD_minor,3.7654,3.8274,2.1583,0.0000,9.8614
VD_medium,0.6826,1.3809,1.7153,0.0000,9.2479
VD_major,0.1199,0.3601,0.6952,0.0000,5.4499
MST_minor,0.6889,0.6596,0.1837,0.0000,1.0000
MST_medium,0.9362,0.8662,0.1807,0.0000,1.0000
MST_major,0.9913,0.9237,0.2191,0.0000,1.0000
ER_minor,0.7735,3.2170,10.0889,0.0000,61.9017
ER_medium,1.3156,4.8926,12.6363,0.0000,85.4938
ER_major,1.4807,2.8949,5.1309,0.0664,35.1486
LMA,90.7300,100.8806,55.6418,18.9100,276.2000
SWP_M,170.2700,226.0797,205.0851,3.4400,1294.3900
SWP_M_imputed,179.8200,236.6783,200.0888,3.4400,1294.3900
SWP_L,106.3250,128.8313,108.9299,4.4400,795.8200
SWP_L_imputed,108.6050,130.1498,109.3521,4.4400,795.8200
SWS_M,692.3050,2316.0430,7017.0600,47.8900,48897.4300
SWS_M_imputed,698.8800,2340.8370,7014.4570,47.8900,48897.4300
SWS_L,5015.5000,6309.4530,6457.4090,19.4900,48815.2600
SWS_L_imputed,5015.5000,6300.6060,6462.6670,19.4900,48815.2600
e_W,5.3350,28.6641,81.7552,0.1200,527.4900
e_W_imputed,6.4900,31.5071,78.8042,0.1200,527.4900
e_L,20.8800,78.7698,160.6550,1.0300,783.0200
e_L_imputed,49.3386,79.6634,110.7204,1.0300,783.0200
Dkleaf_mean,-74.1350,-54.7746,61.8428,-99.8300,294.9700
Dkleaf_mean_imputed,-73.8700,-56.5422,58.1015,-99.8300,294.9700
Phe,3.6800,3.7486,2.0291,0.4100,7.5400
Phe_imputed,3.6400,3.7296,2.0132,0.4100,7.5400
Kleaf_max,2.9300,6.1500,7.7197,0.1500,34.8300
P50,0.5800,0.8834,0.6754,0.1600,2.6200
P50_imputed,0.8307,0.8719,0.3982,0.1600,2.6200
P88,1.7700,2.1641,1.3875,0.5100,6.8700
P88_imputed,2.2025,2.2919,0.8517,0.5100,6.8700
ISI,0.3400,0.3614,0.1200,0.0900,0.8300
