Variables,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
VD.median,-0.116020428,0.448014193,0.504202292,0.105230129,-0.064533282,0.015777817,0.040951268,0.05856032,-0.001487729,0.069181425,-0.070724194,0.090832517,-0.015289837,0.058971065,-0.032468442,0.698715324
MST.median,0.103871544,-0.388007032,-0.555790507,-0.126092385,0.091484887,-0.035805581,-0.038734758,-0.078945335,-0.031456348,-0.055887617,-0.002976428,0.074953207,0.001701068,0.03389545,-0.06467663,0.693829925
ER.median,-0.149571952,-0.359906433,0.141765316,-0.237730041,-0.033670791,-0.148022568,0.323580047,0.353580906,0.090727387,0.615874514,-0.182276088,0.128937528,-0.277067205,-0.010168493,0.066431384,-0.007043461
LMA,-0.231679597,0.215216668,-0.106370453,-0.410794993,-0.060801006,-0.113109265,0.297999054,-0.040990585,-0.442420521,0.099597707,0.562913903,0.059590374,0.254331553,-0.14511837,0.03367755,0.002874941
SWP_M,-0.303320989,0.081523871,-0.19590352,-0.157502174,-0.494854444,0.147955709,-0.047510993,-0.096755708,-0.134513011,0.123876115,-0.511343748,-0.379724784,0.305207726,0.130737142,0.101654038,0.00971888
SWP_L,-0.371371251,-0.132026177,0.106533799,-0.177591956,-0.147163955,0.304685276,0.00678855,-0.424985637,0.115878084,-0.143630145,0.207792228,-0.19231177,-0.621024354,-0.04599994,-0.057732597,0.035718828
SWS_M,-0.153484716,0.164434716,-0.110062637,-0.312077273,0.140602984,0.39931101,-0.43304668,0.122473438,0.505476045,0.266931825,0.192336817,0.195812221,0.23086447,0.039397147,0.031962521,-0.01354091
SWS_L,-0.337712165,0.034257089,-0.212724663,0.237665163,-0.424243165,-0.013633316,0.050489084,0.15020846,0.086691059,-0.242857316,-0.087442888,0.63186136,-0.041783907,-0.290250082,-0.119780189,-0.063499793
e_W,-0.314374976,-0.352193744,0.294495944,-0.108815202,0.091981956,-0.131784934,-0.175375306,-0.097578118,-0.169106949,-0.239636114,-0.008713803,0.326945563,0.182308121,0.604472027,0.134122427,-0.053384727
e_L,-0.303775096,-0.351913597,0.300939855,-0.013060087,0.142741016,-0.244204418,-0.207786084,-0.001098776,0.120378704,-0.1067092,-0.020247752,-0.253916327,0.337002151,-0.581011041,-0.14580999,0.082394772
Dkleaf_mean,-0.274783455,0.112419424,-0.212307501,0.25432043,-0.078353841,-0.473954312,0.118663137,0.109301473,0.464845118,-0.05645312,0.286405702,-0.289914691,-0.01490244,0.240213472,0.315187984,0.051846424
Phe,-0.093860257,0.263567126,-0.142283738,-0.134745883,0.066133364,-0.46883478,-0.62379021,0.018097204,-0.282155311,0.146033372,-0.115740319,0.034867519,-0.383855192,-0.069948501,-0.001055949,-0.043731596
Kleaf_max,0.023873984,0.126513943,0.005551475,-0.512560679,0.082517331,0.003881221,0.115930171,0.539202437,0.083042312,-0.575666043,-0.170203359,-0.143832358,-0.14064149,0.021698676,-0.038262435,0.003537793
P50,-0.313788276,0.049506007,-0.128957052,0.22541077,0.480169644,0.30015954,0.072066225,0.099198379,-0.239660998,-0.044374981,-0.163206591,0.012637501,-0.075190231,-0.203649704,0.601459534,0.029507055
P88,-0.386221865,0.06352444,-0.174092591,0.274881625,0.316934132,0.121821152,0.074654901,0.226907416,-0.145627774,0.099431707,0.015423435,-0.175077403,-0.011228092,0.246763268,-0.665220394,-0.055324201
ISI,-0.092457868,0.260983233,-0.093759863,-0.231519803,0.373065689,-0.251022832,0.331058537,-0.512092058,0.276000711,-0.00948594,-0.379274886,0.197628224,0.067171341,-0.028524051,-0.125897652,-0.081054937
