functional_trait,pairwise_interaction,H_statistic
LMA,ER_medium:VD_small,0.571421262
Dkleaf_mean,VD_medium:MST_medium,0.515882774
LMA,VD_small:ER_medium,0.446230467
Kleaf_max,VD_small:VD_medium,0.432128265
Dkleaf_mean,MST_medium:VD_medium,0.427955599
Dkleaf_mean,ER_large:MST_medium,0.393096444
e_L,ER_small:ER_large,0.350673005
SWS_M,MST_medium:MST_large,0.331042536
SWS_L,MST_medium:ER_large,0.329689745
Phe,VD_large:MST_medium,0.321823721
SWP_M,ER_small:ER_large,0.308713586
SWS_L,MST_large:ER_large,0.305016968
SWS_L,MST_large:VD_medium,0.299393746
SWS_L,VD_large:VD_medium,0.299219766
SWP_L,ER_medium:ER_large,0.297857223
SWP_L,ER_large:ER_medium,0.296304435
SWS_L,VD_small:MST_small,0.296207067
P50,MST_large:MST_small,0.289660356
Kleaf_max,VD_medium:VD_small,0.28928809
Phe,MST_medium:VD_large,0.288365992
SWP_L,clade2:VD_medium,0.287057535
SWP_M,MST_medium:VD_medium,0.286074025
LMA,VD_large:ER_medium,0.281870097
Dkleaf_mean,VD_small:ER_medium,0.26805076
SWP_L,MST_medium:VD_medium,0.259491121
e_W,MST_large:MST_medium,0.245472977
SWS_L,ER_medium:MST_small,0.241081389
Dkleaf_mean,ER_small:VD_medium,0.240893392
Dkleaf_mean,VD_large:VD_medium,0.228405862
LMA,ER_large:VD_small,0.224023951
SWS_M,MST_large:MST_medium,0.222542103
SWP_L,ER_small:VD_medium,0.21821012
LMA,VD_medium:MST_medium,0.215903696
P88,MST_large:VD_small,0.211552446
SWS_M,VD_medium:MST_large,0.208873014
SWP_L,VD_large:VD_medium,0.205015015
SWP_L,VD_small:VD_medium,0.201859686
SWS_M,MST_small:MST_large,0.20078864
P50,VD_medium:MST_small,0.200372154
LMA,VD_large:MST_medium,0.199170301
LMA,MST_small:MST_medium,0.194189494
LMA,VD_medium:ER_medium,0.182016656
Kleaf_max,ER_large:VD_medium,0.181010957
SWP_M,ER_small:VD_medium,0.179938827
SWP_M,MST_medium:ER_large,0.179206832
Kleaf_max,ER_large:VD_small,0.177981396
SWS_L,VD_small:VD_medium,0.177303842
Kleaf_max,VD_small:ER_large,0.177150448
Dkleaf_mean,clade2:MST_medium,0.175670589
SWS_M,MST_large:MST_small,0.175211877
P50,ER_medium:MST_small,0.171040758
P50,ER_large:MST_small,0.170090852
Dkleaf_mean,ER_large:VD_medium,0.169948148
SWS_L,MST_medium:VD_medium,0.168201266
Phe,VD_medium:MST_medium,0.167416339
SWP_L,ER_small:ER_large,0.166916395
SWS_M,ER_medium:MST_small,0.164505151
Kleaf_max,VD_medium:ER_large,0.162514389
LMA,VD_large:VD_small,0.161638883
Kleaf_max,MST_medium:VD_medium,0.160408893
Phe,MST_small:MST_medium,0.159792783
Kleaf_max,MST_large:ER_large,0.159056804
SWP_L,MST_large:VD_medium,0.158319854
SWP_L,VD_medium:ER_large,0.155669244
P50,MST_medium:VD_large,0.153215505
SWP_M,ER_large:MST_large,0.151559426
LMA,ER_large:ER_medium,0.151044506
Dkleaf_mean,MST_medium:ER_medium,0.149723121
P50,VD_large:MST_small,0.148722846
LMA,MST_large:VD_small,0.148655069
Kleaf_max,MST_large:VD_small,0.148607274
Kleaf_max,VD_large:VD_medium,0.148509017
SWP_L,clade2:ER_medium,0.147935146
SWS_L,VD_small:ER_large,0.146954819
SWP_M,ER_small:MST_large,0.146850214
e_W,MST_large:VD_small,0.145065392
LMA,ER_large:MST_medium,0.143159277
SWP_L,ER_large:VD_medium,0.14298017
SWP_M,VD_small:VD_medium,0.141503929
e_L,VD_medium:VD_small,0.139523851
P88,VD_medium:ER_large,0.13623688
SWS_L,VD_large:MST_small,0.134245839
P88,VD_large:VD_small,0.132639134
SWP_M,MST_large:ER_large,0.130408707
SWS_L,ER_small:ER_large,0.12892044
SWS_M,ER_small:MST_small,0.127382221
Dkleaf_mean,ER_medium:MST_medium,0.127131277
P88,ER_large:VD_medium,0.126957758
P50,MST_small:VD_small,0.125685684
LMA,MST_medium:VD_small,0.125668547
SWS_M,VD_medium:MST_medium,0.124266916
LMA,ER_medium:MST_medium,0.123467758
e_W,VD_large:MST_medium,0.123207114
P50,MST_large:VD_small,0.122255758
P50,VD_small:MST_small,0.122206481
SWP_L,ER_medium:VD_medium,0.121743493
P88,MST_medium:ER_large,0.121600746
P50,MST_medium:MST_small,0.120987945
Dkleaf_mean,ER_medium:VD_medium,0.120072328
P50,ER_medium:VD_small,0.11890627
P50,MST_small:VD_large,0.118155473
Phe,ER_small:VD_large,0.116717329
LMA,ER_small:MST_medium,0.115617959
SWP_L,VD_medium:ER_medium,0.114969465
SWP_L,VD_large:ER_large,0.113691757
e_L,VD_large:VD_small,0.112746331
SWS_M,ER_large:MST_small,0.112245757
P88,VD_small:VD_medium,0.110416083
P50,ER_small:MST_small,0.109071069
LMA,MST_medium:ER_medium,0.108148213
Kleaf_max,ER_small:VD_medium,0.107624262
SWS_L,MST_medium:MST_small,0.106570757
Dkleaf_mean,MST_small:MST_medium,0.106176824
SWP_M,MST_small:VD_medium,0.106046093
Dkleaf_mean,VD_medium:ER_medium,0.105140764
P88,MST_small:ER_large,0.104440053
Dkleaf_mean,VD_small:MST_medium,0.103970013
e_W,clade2:MST_medium,0.102301468
P50,ER_small:VD_large,0.102297985
LMA,VD_small:MST_medium,0.102146638
P50,MST_medium:VD_small,0.101979351
SWP_L,VD_small:ER_medium,0.100012325
SWS_L,VD_large:ER_large,0.099842587
SWP_M,MST_medium:MST_large,0.099754315
SWS_M,clade2:MST_small,0.098930323
SWP_L,MST_small:ER_large,0.097996528
P88,MST_medium:VD_small,0.096282585
Kleaf_max,ER_medium:VD_small,0.095127198
P50,ER_large:VD_small,0.095084985
e_L,MST_medium:ER_large,0.094424719
e_L,MST_large:ER_large,0.093785724
Kleaf_max,ER_small:VD_small,0.092932688
Kleaf_max,clade2:VD_small,0.092651668
P50,clade2:VD_small,0.091969668
Dkleaf_mean,MST_large:MST_medium,0.091598797
SWP_M,VD_small:MST_large,0.091576859
SWS_L,ER_small:MST_small,0.091416533
Kleaf_max,ER_medium:VD_medium,0.091235753
SWP_L,MST_medium:ER_medium,0.091193077
e_L,VD_large:ER_large,0.090502674
e_L,ER_large:MST_large,0.089701351
Dkleaf_mean,VD_small:VD_medium,0.088454917
SWS_M,MST_medium:MST_small,0.08794388
SWP_L,MST_medium:ER_large,0.086942312
SWS_M,MST_small:MST_medium,0.086619048
e_W,MST_small:ER_large,0.086617767
e_L,ER_medium:MST_large,0.08570507
SWP_M,MST_large:VD_medium,0.085015518
SWP_L,clade2:ER_large,0.084903297
Phe,clade2:VD_large,0.084199496
SWP_M,VD_medium:MST_large,0.084110341
e_W,MST_medium:ER_large,0.082587319
e_L,clade2:MST_large,0.080103564
SWP_M,VD_large:MST_large,0.079929543
SWS_M,ER_medium:MST_medium,0.079391077
SWS_L,VD_medium:ER_large,0.078585692
SWS_L,MST_large:MST_small,0.078341236
LMA,clade2:VD_small,0.078252703
SWP_M,clade2:MST_large,0.077754391
SWS_L,MST_small:VD_medium,0.075636422
e_W,MST_large:ER_large,0.07247258
SWS_M,VD_small:MST_small,0.071456401
P50,clade2:VD_large,0.068946367
P50,VD_large:VD_small,0.068062768
P88,clade2:ER_large,0.067153574
P88,MST_large:ER_large,0.066678983
P50,VD_small:VD_large,0.066534275
P88,ER_medium:VD_medium,0.06575209
P88,VD_medium:VD_small,0.065479716
P50,VD_medium:VD_small,0.064661828
P88,MST_medium:VD_medium,0.06339379
SWP_M,MST_small:MST_large,0.063118478
SWP_M,ER_medium:ER_large,0.063016328
Kleaf_max,MST_large:VD_medium,0.060537498
